ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid
NVDA,2025-05-06,NVDA250606C00121000,NVDA,2025-06-06 20:00:00,call,121,2025-05-01 13:30:00,31,2025-05-06 20:00:00,4.15,6,4.25,4.35,50,4.3,457,198,False,0.0,4.25,113.54,False
NVDA,2025-05-06,NVDA250606C00125000,NVDA,2025-06-06 20:00:00,call,125,2025-04-25 13:30:00,31,2025-05-06 20:00:00,2.92,34,2.985,3.05,23,2.96,2337,2203,False,0.0,2.985,113.54,False
NVDA,2025-05-06,NVDA250606C00130000,NVDA,2025-06-06 20:00:00,call,130,2025-04-25 13:30:00,31,2025-05-06 20:00:00,1.83,15,1.865,1.9,25,1.91,5878,2851,False,0.0,1.865,113.54,False
NVDA,2025-05-06,NVDA250606P00094000,NVDA,2025-06-06 20:00:00,put,94,2025-04-24 13:30:00,31,2025-05-06 20:00:00,1.28,3,1.295,1.31,12,1.25,484,44,False,0.0,1.295,113.54,False
NVDA,2025-05-06,NVDA250606P00095000,NVDA,2025-06-06 20:00:00,put,95,2025-04-24 13:30:00,31,2025-05-06 20:00:00,1.42,3,1.435,1.45,10,1.41,1835,234,False,0.0,1.435,113.54,False
NVDA,2025-05-06,NVDA250606P00096000,NVDA,2025-06-06 20:00:00,put,96,2025-04-24 13:30:00,31,2025-05-06 20:00:00,1.56,33,1.58,1.6,9,1.58,92,19,False,0.0,1.58,113.54,False
NVDA,2025-05-06,NVDA250606P00097000,NVDA,2025-06-06 20:00:00,put,97,2025-04-24 13:30:00,31,2025-05-06 20:00:00,1.72,15,1.745,1.77,35,1.55,262,15,False,0.0,1.745,113.54,False
NVDA,2025-05-06,NVDA250606P00098000,NVDA,2025-06-06 20:00:00,put,98,2025-04-24 13:30:00,31,2025-05-06 20:00:00,1.9,4,1.92,1.94,2,1.92,361,71,False,0.0,1.92,113.54,False
NVDA,2025-05-06,NVDA250606P00099000,NVDA,2025-06-06 20:00:00,put,99,2025-04-24 13:30:00,31,2025-05-06 20:00:00,2.09,1,2.115,2.14,1,1.99,1190,153,False,0.0,2.115,113.54,False
NVDA,2025-05-06,NVDA250606P00100000,NVDA,2025-06-06 20:00:00,put,100,2025-04-24 13:30:00,31,2025-05-06 20:00:00,2.3,6,2.325,2.35,3,2.27,2548,1281,False,0.0,2.325,113.54,False
NVDA,2025-05-06,NVDA250606P00101000,NVDA,2025-06-06 20:00:00,put,101,2025-04-24 13:30:00,31,2025-05-06 20:00:00,2.53,1,2.55,2.57,2,2.42,133,14,False,0.0,2.55,113.54,False
NVDA,2025-05-06,NVDA250606P00102000,NVDA,2025-06-06 20:00:00,put,102,2025-04-24 13:30:00,31,2025-05-06 20:00:00,2.76,1,2.79,2.82,15,2.79,672,35,False,0.0,2.79,113.54,False
NVDA,2025-05-06,NVDA250606P00103000,NVDA,2025-06-06 20:00:00,put,103,2025-04-24 13:30:00,31,2025-05-06 20:00:00,3.0,65,3.05,3.1,39,3.07,187,36,False,0.0,3.05,113.54,False
NVDA,2025-05-06,NVDA250606P00104000,NVDA,2025-06-06 20:00:00,put,104,2025-04-24 13:30:00,31,2025-05-06 20:00:00,3.3,6,3.35,3.4,124,3.26,176,68,False,0.0,3.35,113.54,False
NVDA,2025-05-06,NVDA250606P00105000,NVDA,2025-06-06 20:00:00,put,105,2025-04-24 13:30:00,31,2025-05-06 20:00:00,3.6,40,3.65,3.7,43,3.28,790,407,False,0.0,3.65,113.54,False
NVDA,2025-05-06,NVDA250606P00106000,NVDA,2025-06-06 20:00:00,put,106,2025-04-24 13:30:00,31,2025-05-06 20:00:00,3.9,68,3.95,4.0,7,3.8,251,46,False,0.0,3.95,113.54,False
