ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid
PG,2025-04-14,PG250417C00130000,PG,2025-04-17 20:00:00,call,130.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,37.5,70,39.375,41.25,70,33.3,11,0,True,39.13,0.245,169.13,False
PG,2025-04-14,PG250417C00135000,PG,2025-04-17 20:00:00,call,135.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,33.25,44,34.4,35.55,52,24.4,2,0,True,34.13,0.27,169.13,False
PG,2025-04-14,PG250417C00140000,PG,2025-04-17 20:00:00,call,140.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,27.95,46,29.275,30.6,35,27.06,36,0,True,29.13,0.145,169.13,False
PG,2025-04-14,PG250417C00145000,PG,2025-04-17 20:00:00,call,145.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,23.55,11,24.475,25.4,19,14.8,19,0,True,24.13,0.345,169.13,False
PG,2025-04-14,PG250417C00147000,PG,2025-04-17 20:00:00,call,147.0,2025-04-10 13:30:00,3,2025-04-14 20:00:00,21.55,10,22.775,24.0,31,0.0,0,0,True,22.13,0.645,169.13,False
PG,2025-04-14,PG250417C00148000,PG,2025-04-17 20:00:00,call,148.0,2025-04-10 13:30:00,3,2025-04-14 20:00:00,20.25,27,21.4,22.55,26,0.0,0,0,True,21.13,0.27,169.13,False
PG,2025-04-14,PG250417C00149000,PG,2025-04-17 20:00:00,call,149.0,2025-04-10 13:30:00,3,2025-04-14 20:00:00,19.0,19,20.65,22.3,30,0.0,0,0,True,20.13,0.52,169.13,False
PG,2025-04-14,PG250417C00150000,PG,2025-04-17 20:00:00,call,150.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,18.55,10,19.5,20.45,12,9.08,31,0,True,19.13,0.37,169.13,False
PG,2025-04-14,PG250417C00152500,PG,2025-04-17 20:00:00,call,152.5,2025-03-24 13:30:00,3,2025-04-14 20:00:00,15.65,13,17.175,18.7,25,8.2,32,0,True,16.63,0.545,169.13,False
PG,2025-04-14,PG250417C00155000,PG,2025-04-17 20:00:00,call,155.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,13.05,21,14.525,16.0,38,14.51,142,4,True,14.13,0.395,169.13,False
PG,2025-04-14,PG250417C00157500,PG,2025-04-17 20:00:00,call,157.5,2025-03-24 13:30:00,3,2025-04-14 20:00:00,10.7,20,12.0,13.3,19,8.25,90,0,True,11.63,0.37,169.13,False
PG,2025-04-14,PG250417C00160000,PG,2025-04-17 20:00:00,call,160.0,2024-08-15 13:30:00,3,2025-04-14 20:00:00,9.1,11,9.725,10.35,11,9.46,862,14,True,9.13,0.595,169.13,False
PG,2025-04-14,PG250417C00162500,PG,2025-04-17 20:00:00,call,162.5,2025-03-24 13:30:00,3,2025-04-14 20:00:00,6.35,11,6.95,7.55,10,5.6,803,0,True,6.63,0.32,169.13,False
