ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2,realised_vol
AMZN,2025-04-10,AMZN250417C00147000,AMZN,2025-04-17 20:00:00,call,147.0,2025-04-08 13:30:00,7,2025-04-10 20:00:00,33.95,10,34.925,35.9,10,27.8,19,0,True,34.22,0.705,181.22,False,1.949999999999996,0.0558339298496777,0.8111687451716146,-18.88312548283854,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00148000,AMZN,2025-04-17 20:00:00,call,148.0,2025-04-08 13:30:00,7,2025-04-10 20:00:00,32.95,9,33.95,34.95,10,41.3,53,0,True,33.22,0.73,181.22,False,2.0,0.0589101620029455,0.8166868999006732,-18.33131000993268,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00149000,AMZN,2025-04-17 20:00:00,call,149.0,2025-04-08 13:30:00,7,2025-04-10 20:00:00,31.95,9,32.975,34.0,10,25.5,54,0,True,32.22,0.755,181.22,False,2.0500000000000007,0.0621683093252464,0.8222050546297318,-17.779494537026817,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00150000,AMZN,2025-04-17 20:00:00,call,150.0,2024-08-15 13:30:00,7,2025-04-10 20:00:00,31.85,39,32.15,32.45,10,33.26,1248,26,True,31.22,0.93,181.22,False,0.6000000000000014,0.0186625194401244,0.8277232093587904,-17.227679064120956,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00152500,AMZN,2025-04-17 20:00:00,call,152.5,2025-04-04 13:30:00,7,2025-04-10 20:00:00,29.35,22,29.8,30.25,7,28.65,80,40,True,28.72,1.08,181.22,False,0.8999999999999986,0.0302013422818791,0.841518596181437,-15.848140381856307,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00155000,AMZN,2025-04-17 20:00:00,call,155.0,2024-08-15 13:30:00,7,2025-04-10 20:00:00,27.25,1,27.45,27.65,10,25.7,961,130,True,26.22,1.23,181.22,False,0.3999999999999986,0.0145719489981784,0.8553139830040835,-14.468601699591655,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00157500,AMZN,2025-04-17 20:00:00,call,157.5,2025-04-04 13:30:00,7,2025-04-10 20:00:00,24.95,20,25.15,25.35,28,24.55,185,35,True,23.72,1.43,181.22,False,0.4000000000000021,0.0159045725646124,0.8691093698267299,-13.089063017327003,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00160000,AMZN,2025-04-17 20:00:00,call,160.0,2024-08-15 13:30:00,7,2025-04-10 20:00:00,22.65,18,22.85,23.05,21,22.2,5155,138,True,21.22,1.63,181.22,False,0.4000000000000021,0.0175054704595186,0.8829047566493764,-11.709524335062357,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00162500,AMZN,2025-04-17 20:00:00,call,162.5,2025-04-04 13:30:00,7,2025-04-10 20:00:00,20.4,28,20.6,20.8,26,20.43,276,114,True,18.72,1.88,181.22,False,0.4000000000000021,0.0194174757281554,0.896700143472023,-10.329985652797705,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00165000,AMZN,2025-04-17 20:00:00,call,165.0,2024-08-15 13:30:00,7,2025-04-10 20:00:00,18.35,17,18.45,18.55,14,18.3,1465,199,True,16.22,2.23,181.22,False,0.1999999999999993,0.0108401084010839,0.9104955302946696,-8.950446970533052,ITM,2,8,
AMZN,2025-04-10,AMZN250417C00167500,AMZN,2025-04-17 20:00:00,call,167.5,2025-04-04 13:30:00,7,2025-04-10 20:00:00,16.25,15,16.325,16.4,15,16.7,436,396,True,13.72,2.605,181.22,False,0.1499999999999985,0.0091883614088819,0.924290917117316,-7.570908288268402,ITM,2,8,
