ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega
AMZN,2025-05-01,AMZN251017C00120000,AMZN,2025-10-17 16:00:00 -04:00,call,120,2025-02-25 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,72.45,151,74.15,75.85,22,66.7,70,0,True,70.2,3.95,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00125000,AMZN,2025-10-17 16:00:00 -04:00,call,125,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,68.0,31,69.2,70.4,15,68.68,59,2,True,65.2,4.0,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00130000,AMZN,2025-10-17 16:00:00 -04:00,call,130,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,63.4,150,64.9,66.4,22,64.43,321,14,True,60.2,4.7,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00135000,AMZN,2025-10-17 16:00:00 -04:00,call,135,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,59.2,37,60.225,61.25,41,53.1,194,0,True,55.2,5.025,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00140000,AMZN,2025-10-17 16:00:00 -04:00,call,140,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,55.0,19,55.875,56.75,38,53.9,244,8,True,50.2,5.675,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00145000,AMZN,2025-10-17 16:00:00 -04:00,call,145,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,51.25,7,51.475,51.7,7,52.75,986,5,True,45.2,6.275,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00150000,AMZN,2025-10-17 16:00:00 -04:00,call,150,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,47.0,7,47.25,47.5,5,48.5,479,99,True,40.2,7.05,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00155000,AMZN,2025-10-17 16:00:00 -04:00,call,155,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,43.1,7,43.275,43.45,6,42.7,215,20,True,35.2,8.075,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00160000,AMZN,2025-10-17 16:00:00 -04:00,call,160,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,39.35,12,39.475,39.6,6,38.99,269,19,True,30.2,9.275,190.2,,,,,
AMZN,2025-05-01,AMZN251017C00165000,AMZN,2025-10-17 16:00:00 -04:00,call,165,2025-02-21 09:30:00 -05:00,169,2025-05-01 16:00:00 -04:00,35.65,7,35.8,35.95,8,35.7,321,65,True,25.2,10.6,190.2,,,,,
