ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega,is_illiquid
AAPL,2025-09-22,AAPL260320C00175000,AAPL,2026-03-20 20:00:00,call,175,2025-01-24 14:30:00,179,2025-09-22 20:00:00,84.7,207,86.075,87.45,221,85.88,448,1,True,81.08,4.995,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00180000,AAPL,2026-03-20 20:00:00,call,180,2025-01-24 14:30:00,179,2025-09-22 20:00:00,79.9,224,80.8,81.7,86,80.5,727,13,True,76.08,4.72,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00185000,AAPL,2026-03-20 20:00:00,call,185,2025-01-24 14:30:00,179,2025-09-22 20:00:00,75.3,208,76.325,77.35,211,76.0,616,50,True,71.08,5.245,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00190000,AAPL,2026-03-20 20:00:00,call,190,2025-01-24 14:30:00,179,2025-09-22 20:00:00,71.25,14,71.725,72.2,14,70.19,609,14,True,66.08,5.645,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00195000,AAPL,2026-03-20 20:00:00,call,195,2025-01-24 14:30:00,179,2025-09-22 20:00:00,66.9,10,67.125,67.35,11,66.42,1838,55,True,61.08,6.045,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00200000,AAPL,2026-03-20 20:00:00,call,200,2025-01-24 14:30:00,179,2025-09-22 20:00:00,62.45,11,62.65,62.85,11,62.54,5960,305,True,56.08,6.57,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00210000,AAPL,2026-03-20 20:00:00,call,210,2025-01-24 14:30:00,179,2025-09-22 20:00:00,53.8,4,53.95,54.1,20,53.74,4883,387,True,46.08,7.87,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00220000,AAPL,2026-03-20 20:00:00,call,220,2025-01-24 14:30:00,179,2025-09-22 20:00:00,45.4,6,45.55,45.7,10,45.57,5761,479,True,36.08,9.47,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00230000,AAPL,2026-03-20 20:00:00,call,230,2025-01-24 14:30:00,179,2025-09-22 20:00:00,37.55,13,37.65,37.75,17,37.67,7856,416,True,26.08,11.57,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00240000,AAPL,2026-03-20 20:00:00,call,240,2025-01-24 14:30:00,179,2025-09-22 20:00:00,30.3,13,30.425,30.55,19,30.42,11917,1205,True,16.08,14.345,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00250000,AAPL,2026-03-20 20:00:00,call,250,2025-01-24 14:30:00,179,2025-09-22 20:00:00,23.8,16,23.9,24.0,13,23.98,13655,2105,True,6.08,17.82,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00260000,AAPL,2026-03-20 20:00:00,call,260,2025-01-24 14:30:00,179,2025-09-22 20:00:00,18.15,10,18.25,18.35,2,18.2,8415,2026,False,0.0,18.25,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00270000,AAPL,2026-03-20 20:00:00,call,270,2025-01-24 14:30:00,179,2025-09-22 20:00:00,13.45,16,13.55,13.65,20,13.55,10680,2403,False,0.0,13.55,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00280000,AAPL,2026-03-20 20:00:00,call,280,2025-01-24 14:30:00,179,2025-09-22 20:00:00,9.75,12,9.825,9.9,5,9.8,13796,7118,False,0.0,9.825,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00290000,AAPL,2026-03-20 20:00:00,call,290,2025-01-24 14:30:00,179,2025-09-22 20:00:00,6.9,14,6.975,7.05,15,6.97,2265,5053,False,0.0,6.975,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00300000,AAPL,2026-03-20 20:00:00,call,300,2025-01-24 14:30:00,179,2025-09-22 20:00:00,4.8,30,4.875,4.95,10,4.85,7193,4175,False,0.0,4.875,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00310000,AAPL,2026-03-20 20:00:00,call,310,2025-01-24 14:30:00,179,2025-09-22 20:00:00,3.35,33,3.4,3.45,65,3.4,1346,1696,False,0.0,3.4,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00320000,AAPL,2026-03-20 20:00:00,call,320,2025-01-24 14:30:00,179,2025-09-22 20:00:00,2.31,32,2.335,2.36,23,2.34,1609,1147,False,0.0,2.335,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00330000,AAPL,2026-03-20 20:00:00,call,330,2025-01-24 14:30:00,179,2025-09-22 20:00:00,1.58,39,1.605,1.63,18,1.58,1072,309,False,0.0,1.605,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320C00340000,AAPL,2026-03-20 20:00:00,call,340,2025-01-31 14:30:00,179,2025-09-22 20:00:00,1.08,56,1.1,1.12,10,1.07,841,70,False,0.0,1.1,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320P00175000,AAPL,2026-03-20 20:00:00,put,175,2025-01-24 14:30:00,179,2025-09-22 20:00:00,1.09,1,1.105,1.12,1,1.15,6684,229,False,0.0,1.105,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320P00180000,AAPL,2026-03-20 20:00:00,put,180,2025-01-24 14:30:00,179,2025-09-22 20:00:00,1.29,39,1.32,1.35,41,1.31,6047,132,False,0.0,1.32,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320P00185000,AAPL,2026-03-20 20:00:00,put,185,2025-01-24 14:30:00,179,2025-09-22 20:00:00,1.52,42,1.555,1.59,49,1.55,3614,143,False,0.0,1.555,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320P00190000,AAPL,2026-03-20 20:00:00,put,190,2025-01-24 14:30:00,179,2025-09-22 20:00:00,1.81,18,1.845,1.88,28,1.84,8088,57,False,0.0,1.845,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320P00195000,AAPL,2026-03-20 20:00:00,put,195,2025-01-24 14:30:00,179,2025-09-22 20:00:00,2.15,1,2.185,2.22,61,2.17,7389,54,False,0.0,2.185,256.08,,,,,,False
AAPL,2025-09-22,AAPL260320P00200000,AAPL,2026-03-20 20:00:00,put,200,2025-01-24 14:30:00,179,2025-09-22 20:00:00,2.55,24,2.59,2.63,46,2.57,6707,1071,False,0.0,2.59,256.08,,,,,,False
