ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega
AAPL,2025-05-01,AAPL250509C00175000,AAPL,2025-05-09 16:00:00 -04:00,call,175.0,2025-03-27 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,37.1,110,38.1,39.1,110,38.31,1637,35,True,38.32,0.22,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00177500,AAPL,2025-05-09 16:00:00 -04:00,call,177.5,2025-04-21 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,34.65,105,36.025,37.4,105,35.4,55,9,True,35.82,0.205,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00180000,AAPL,2025-05-09 16:00:00 -04:00,call,180.0,2025-03-27 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,32.3,110,33.55,34.8,110,32.99,639,22,True,33.32,0.23,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00182500,AAPL,2025-05-09 16:00:00 -04:00,call,182.5,2025-04-21 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,29.8,105,31.1,32.4,105,32.5,64,66,True,30.82,0.28,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00185000,AAPL,2025-05-09 16:00:00 -04:00,call,185.0,2025-03-27 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,27.8,110,28.525,29.25,79,28.42,516,21,True,28.32,0.205,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00187500,AAPL,2025-05-09 16:00:00 -04:00,call,187.5,2025-04-21 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,25.0,105,26.225,27.45,105,26.1,121,96,True,25.82,0.405,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00190000,AAPL,2025-05-09 16:00:00 -04:00,call,190.0,2025-03-27 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,22.85,110,23.825,24.8,110,24.0,911,190,True,23.32,0.505,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00192500,AAPL,2025-05-09 16:00:00 -04:00,call,192.5,2025-04-21 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,20.9,35,21.45,22.0,5,21.01,237,55,True,20.82,0.63,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00195000,AAPL,2025-05-09 16:00:00 -04:00,call,195.0,2025-03-27 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,18.3,105,19.525,20.75,105,19.75,1612,319,True,18.32,1.205,213.32,,,,,
AAPL,2025-05-01,AAPL250509C00197500,AAPL,2025-05-09 16:00:00 -04:00,call,197.5,2025-04-21 09:30:00 -04:00,8,2025-05-01 16:00:00 -04:00,16.55,1,17.925,19.3,1,17.35,297,283,True,15.82,2.105,213.32,,,,,
