ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
CAT,2025-06-09,CAT250919C00260000,CAT,2025-09-19 20:00:00,call,260,2024-09-24 13:30:00,102,2025-06-09 20:00:00,100.8,5,102.275,103.75,19,92.04,29,0,True,98.07,4.205,358.07,False,2.950000000000003,0.028843803471034005,0.7261150054458626,-27.388499455413744,ITM,3,68
CAT,2025-06-09,CAT250919C00270000,CAT,2025-09-19 20:00:00,call,270,2024-09-24 13:30:00,102,2025-06-09 20:00:00,90.9,17,92.175,93.45,17,79.9,37,0,True,88.07,4.105,358.07,False,2.549999999999997,0.027664768104149685,0.7540425056553188,-24.59574943446812,ITM,3,68
CAT,2025-06-09,CAT250919C00280000,CAT,2025-09-19 20:00:00,call,280,2024-09-24 13:30:00,102,2025-06-09 20:00:00,81.95,5,83.225,84.5,17,82.1,95,0,True,78.07,5.155,358.07,False,2.549999999999997,0.030639831781315678,0.781970005864775,-21.802999413522496,ITM,3,68
CAT,2025-06-09,CAT250919C00290000,CAT,2025-09-19 20:00:00,call,290,2024-09-24 13:30:00,102,2025-06-09 20:00:00,72.5,33,73.675,74.85,26,62.49,201,0,True,68.07,5.605,358.07,False,2.3499999999999943,0.031896844248388116,0.8098975060742313,-19.01024939257687,ITM,3,68
CAT,2025-06-09,CAT250919C00300000,CAT,2025-09-19 20:00:00,call,300,2024-09-24 13:30:00,102,2025-06-09 20:00:00,64.4,18,64.975,65.55,20,65.1,294,1,True,58.07,6.905,358.07,False,1.1499999999999915,0.01769911504424766,0.8378250062836876,-16.217499371631245,ITM,3,68
CAT,2025-06-09,CAT250919C00310000,CAT,2025-09-19 20:00:00,call,310,2024-09-24 13:30:00,102,2025-06-09 20:00:00,55.9,7,56.625,57.35,20,55.92,455,1,True,48.07,8.555,358.07,False,1.4500000000000028,0.025607064017660094,0.8657525064931438,-13.42474935068562,ITM,3,68
CAT,2025-06-09,CAT250919C00320000,CAT,2025-09-19 20:00:00,call,320,2024-09-24 13:30:00,102,2025-06-09 20:00:00,47.35,27,48.075,48.8,26,47.82,808,1,True,38.07,10.005,358.07,False,1.4499999999999957,0.03016120644825784,0.8936800067026001,-10.631999329739994,ITM,3,68
CAT,2025-06-09,CAT250919C00330000,CAT,2025-09-19 20:00:00,call,330,2024-09-24 13:30:00,102,2025-06-09 20:00:00,40.0,20,40.65,41.3,18,35.26,934,0,True,28.07,12.58,358.07,False,1.2999999999999972,0.03198031980319797,0.9216075069120563,-7.8392493087943675,ITM,3,68
CAT,2025-06-09,CAT250919C00340000,CAT,2025-09-19 20:00:00,call,340,2024-09-24 13:30:00,102,2025-06-09 20:00:00,33.2,6,33.5,33.8,13,34.7,1393,26,True,18.07,15.43,358.07,False,0.5999999999999943,0.01791044776119386,0.9495350071215126,-5.046499287848743,ITM,3,68
CAT,2025-06-09,CAT250919C00350000,CAT,2025-09-19 20:00:00,call,350,2024-09-24 13:30:00,102,2025-06-09 20:00:00,26.9,8,27.175,27.45,21,27.35,811,14,True,8.07,19.105,358.07,False,0.5500000000000007,0.02023919043238273,0.9774625073309688,-2.253749266903118,ATM,3,68
CAT,2025-06-09,CAT250919C00360000,CAT,2025-09-19 20:00:00,call,360,2024-09-24 13:30:00,102,2025-06-09 20:00:00,21.25,12,21.475,21.7,10,21.5,924,17,False,0.0,21.475,358.07,False,0.4499999999999993,0.02095459837019787,1.0053900075404252,0.5390007540425076,ATM,3,68
CAT,2025-06-09,CAT250919C00370000,CAT,2025-09-19 20:00:00,call,370,2024-09-24 13:30:00,102,2025-06-09 20:00:00,16.3,21,16.575,16.85,17,17.25,576,30,False,0.0,16.575,358.07,False,0.5500000000000007,0.03318250377073911,1.0333175077498813,3.3317507749881328,OTM,3,68
CAT,2025-06-09,CAT250919C00380000,CAT,2025-09-19 20:00:00,call,380,2024-09-24 13:30:00,102,2025-06-09 20:00:00,12.4,8,12.575,12.75,26,12.92,512,23,False,0.0,12.575,358.07,False,0.34999999999999964,0.027833001988071544,1.0612450079593376,6.124500795933758,OTM,3,68
CAT,2025-06-09,CAT250919C00390000,CAT,2025-09-19 20:00:00,call,390,2024-09-24 13:30:00,102,2025-06-09 20:00:00,9.15,1,9.375,9.6,23,9.69,1026,14,False,0.0,9.375,358.07,False,0.4499999999999993,0.047999999999999925,1.0891725081687937,8.917250816879383,OTM,3,68
CAT,2025-06-09,CAT250919C00400000,CAT,2025-09-19 20:00:00,call,400,2024-09-24 13:30:00,102,2025-06-09 20:00:00,6.55,7,6.775,7.0,15,6.9,1228,7,False,0.0,6.775,358.07,False,0.4500000000000002,0.06642066420664208,1.11710000837825,11.710000837825008,OTM,3,68
CAT,2025-06-09,CAT250919C00410000,CAT,2025-09-19 20:00:00,call,410,2024-09-24 13:30:00,102,2025-06-09 20:00:00,4.6,14,4.825,5.05,17,4.95,278,38,False,0.0,4.825,358.07,False,0.4500000000000002,0.09326424870466325,1.1450275085877064,14.502750858770632,OTM,3,68
CAT,2025-06-09,CAT250919C00420000,CAT,2025-09-19 20:00:00,call,420,2024-09-24 13:30:00,102,2025-06-09 20:00:00,3.15,12,3.275,3.4,18,3.4,257,1,False,0.0,3.275,358.07,False,0.25,0.07633587786259542,1.1729550087971625,17.295500879716258,OTM,3,68
CAT,2025-06-09,CAT250919C00430000,CAT,2025-09-19 20:00:00,call,430,2024-09-24 13:30:00,102,2025-06-09 20:00:00,2.03,28,2.19,2.35,22,1.74,93,0,False,0.0,2.19,358.07,False,0.3200000000000003,0.14611872146118735,1.2008825090066189,20.088250900661883,OTM,3,68
CAT,2025-06-09,CAT250919C00440000,CAT,2025-09-19 20:00:00,call,440,2024-09-24 13:30:00,102,2025-06-09 20:00:00,1.42,10,1.515,1.61,25,1.3,95,4,False,0.0,1.515,358.07,False,0.19000000000000017,0.12541254125412554,1.2288100092160752,22.88100092160751,OTM,3,68
CAT,2025-06-09,CAT250919C00450000,CAT,2025-09-19 20:00:00,call,450,2024-09-24 13:30:00,102,2025-06-09 20:00:00,0.92,21,1.1,1.28,11,0.95,127,0,False,0.0,1.1,358.07,False,0.36,0.3272727272727272,1.2567375094255313,25.673750942553138,OTM,3,68
CAT,2025-06-09,CAT250919P00260000,CAT,2025-09-19 20:00:00,put,260,2024-09-24 13:30:00,102,2025-06-09 20:00:00,1.04,67,1.28,1.52,44,1.16,431,10,False,0.0,1.28,358.07,False,0.48,0.375,0.7261150054458626,-27.388499455413744,OTM,3,68
CAT,2025-06-09,CAT250919P00270000,CAT,2025-09-19 20:00:00,put,270,2024-09-24 13:30:00,102,2025-06-09 20:00:00,1.62,21,1.79,1.96,28,1.67,551,1,False,0.0,1.79,358.07,False,0.33999999999999986,0.1899441340782122,0.7540425056553188,-24.59574943446812,OTM,3,68
