ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
CAT,2025-08-18,CAT250822C00432500,CAT,2025-08-22 20:00:00,call,432.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,0.0,0,0.23,0.46,24,0.3,57,32,False,0.0,0.23,412.64,True,0.46,2.0,1.0481291198138813,4.8129119813881385,OTM,3,138
CAT,2025-08-18,CAT250822C00435000,CAT,2025-08-22 20:00:00,call,435.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.08,70,0.23,0.38,71,0.08,279,21,False,0.0,0.23,412.64,False,0.3,1.3043478260869563,1.0541876696393953,5.418766963939515,OTM,3,138
CAT,2025-08-18,CAT250822C00437500,CAT,2025-08-22 20:00:00,call,437.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,0.0,0,0.135,0.27,5,0.1,34,7,False,0.0,0.135,412.64,True,0.27,2.0,1.060246219464909,6.024621946490892,OTM,3,138
CAT,2025-08-18,CAT250822P00390000,CAT,2025-08-22 20:00:00,put,390.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.1,45,0.265,0.43,70,0.23,184,86,False,0.0,0.265,412.64,False,0.32999999999999996,1.2452830188679243,0.9451337727801474,-5.486622721985262,OTM,3,138
CAT,2025-08-18,CAT250822P00392500,CAT,2025-08-22 20:00:00,put,392.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,0.14,58,0.325,0.51,88,0.32,34,16,False,0.0,0.325,412.64,False,0.37,1.1384615384615384,0.9511923226056611,-4.880767739433886,OTM,3,138
CAT,2025-08-18,CAT250822P00395000,CAT,2025-08-22 20:00:00,put,395.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.34,29,0.445,0.55,42,0.44,184,61,False,0.0,0.445,412.64,False,0.21000000000000002,0.4719101123595506,0.9572508724311749,-4.274912756882509,OTM,3,138
CAT,2025-08-18,CAT250822P00397500,CAT,2025-08-22 20:00:00,put,397.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,0.53,18,0.685,0.84,49,0.6,71,71,False,0.0,0.685,412.64,False,0.30999999999999994,0.45255474452554734,0.9633094222566887,-3.669057774331133,OTM,3,138
CAT,2025-08-18,CAT250822P00400000,CAT,2025-08-22 20:00:00,put,400.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,0.8,3,0.94,1.08,39,0.9,228,463,False,0.0,0.94,412.64,False,0.28,0.29787234042553196,0.9693679720822025,-3.0632027917797564,OTM,3,138
CAT,2025-08-18,CAT250822P00402500,CAT,2025-08-22 20:00:00,put,402.5,2025-08-08 13:30:00,4,2025-08-18 20:00:00,1.05,46,1.205,1.36,10,1.23,122,27,False,0.0,1.205,412.64,False,0.31000000000000005,0.2572614107883818,0.9754265219077162,-2.45734780922838,ATM,3,138
CAT,2025-08-18,CAT250822P00405000,CAT,2025-08-22 20:00:00,put,405.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,1.53,63,1.71,1.89,43,1.65,130,112,False,0.0,1.71,412.64,False,0.3599999999999999,0.21052631578947362,0.98148507173323,-1.8514928266770032,ATM,3,138
CAT,2025-08-18,CAT250822P00407500,CAT,2025-08-22 20:00:00,put,407.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,2.22,22,2.425,2.63,33,2.62,392,108,False,0.0,2.425,412.64,False,0.4099999999999997,0.1690721649484535,0.9875436215587438,-1.2456378441256268,ATM,3,138
CAT,2025-08-18,CAT250822P00410000,CAT,2025-08-22 20:00:00,put,410.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,3.05,32,3.275,3.5,58,3.5,178,299,False,0.0,3.275,412.64,False,0.4500000000000002,0.13740458015267182,0.9936021713842575,-0.6397828615742503,ATM,3,138
CAT,2025-08-18,CAT250822P00412500,CAT,2025-08-22 20:00:00,put,412.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,4.1,27,4.325,4.55,23,4.35,52,114,False,0.0,4.325,412.64,False,0.4500000000000002,0.1040462427745665,0.9996607212097712,-0.03392787902287378,ATM,3,138
CAT,2025-08-18,CAT250822P00415000,CAT,2025-08-22 20:00:00,put,415.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,5.35,17,5.95,6.55,26,5.45,95,25,True,2.36,3.59,412.64,False,1.2000000000000002,0.2016806722689076,1.0057192710352851,0.5719271035285027,ATM,3,138
CAT,2025-08-18,CAT250822P00417500,CAT,2025-08-22 20:00:00,put,417.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,6.9,13,7.35,7.8,16,6.95,38,6,True,4.86,2.49,412.64,False,0.8999999999999995,0.12244897959183666,1.0117778208607988,1.1777820860798793,ATM,3,138
CAT,2025-08-18,CAT250822P00420000,CAT,2025-08-22 20:00:00,put,420.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,8.6,25,9.05,9.5,17,9.4,89,10,True,7.36,1.69,412.64,False,0.9000000000000004,0.09944751381215473,1.0178363706863125,1.783637068631256,ATM,3,138
CAT,2025-08-18,CAT250822P00422500,CAT,2025-08-22 20:00:00,put,422.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,10.65,23,11.2,11.75,17,12.5,34,25,True,9.86,1.34,412.64,False,1.0999999999999996,0.09821428571428568,1.0238949205118264,2.3894920511826325,ATM,3,138
CAT,2025-08-18,CAT250822P00425000,CAT,2025-08-22 20:00:00,put,425.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,12.6,19,13.4,14.2,15,15.68,79,22,True,12.36,1.04,412.64,False,1.5999999999999996,0.11940298507462684,1.02995347033734,2.995347033734009,ATM,3,138
CAT,2025-08-18,CAT250822P00427500,CAT,2025-08-22 20:00:00,put,427.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,14.7,7,15.7,16.7,7,19.27,25,0,True,14.86,0.84,412.64,False,2.0,0.12738853503184713,1.0360120201628538,3.6012020162853853,ITM,3,138
CAT,2025-08-18,CAT250822P00430000,CAT,2025-08-22 20:00:00,put,430.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,16.75,10,17.65,18.55,6,17.93,49,11,True,17.36,0.29,412.64,False,1.8000000000000007,0.10198300283286124,1.0420705699883677,4.207056998836762,ITM,3,138
CAT,2025-08-18,CAT250822P00432500,CAT,2025-08-22 20:00:00,put,432.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,19.4,12,20.4,21.4,7,15.95,26,0,True,19.86,0.54,412.64,False,2.0,0.09803921568627452,1.0481291198138813,4.8129119813881385,ITM,3,138
CAT,2025-08-18,CAT250822P00435000,CAT,2025-08-22 20:00:00,put,435.0,2025-07-03 13:30:00,4,2025-08-18 20:00:00,21.5,14,22.85,24.2,12,18.25,14,0,True,22.36,0.49,412.64,False,2.6999999999999993,0.11816192560175051,1.0541876696393953,5.418766963939515,ITM,3,138
CAT,2025-08-18,CAT250822P00437500,CAT,2025-08-22 20:00:00,put,437.5,2025-08-04 13:30:00,4,2025-08-18 20:00:00,23.75,23,25.1,26.45,7,21.65,2,0,True,24.86,0.24,412.64,False,2.6999999999999993,0.10756972111553781,1.060246219464909,6.024621946490892,ITM,3,138
