ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
CAT,2025-11-24,CAT251128C00535000,CAT,2025-11-28 18:00:00,call,535.0,2025-10-09 13:30:00,4,2025-11-24 21:00:00,26.9,7,27.525,28.15,9,22.01,18,1,True,24.6,2.925,559.6,False,1.25,0.04541326067211626,0.9560400285918513,-4.395997140814871,ITM,3,236
CAT,2025-11-24,CAT251128C00537500,CAT,2025-11-28 18:00:00,call,537.5,2025-11-10 14:30:00,4,2025-11-24 21:00:00,24.7,13,25.225,25.75,17,16.95,3,0,True,22.1,3.125,559.6,False,1.0500000000000007,0.04162537165510409,0.9605075053609721,-3.9492494639027917,ITM,3,236
CAT,2025-11-24,CAT251128C00540000,CAT,2025-11-28 18:00:00,call,540.0,2025-10-09 13:30:00,4,2025-11-24 21:00:00,22.5,112,22.975,23.45,11,23.5,62,7,True,19.6,3.375,559.6,False,0.9499999999999993,0.04134929270946678,0.9649749821300929,-3.502501786990712,ITM,3,236
CAT,2025-11-24,CAT251128C00542500,CAT,2025-11-28 18:00:00,call,542.5,2025-11-10 14:30:00,4,2025-11-24 21:00:00,20.05,43,20.45,20.85,29,22.65,34,4,True,17.1,3.35,559.6,False,0.8000000000000007,0.03911980440097803,0.9694424588992137,-3.0557541100786314,ITM,3,236
CAT,2025-11-24,CAT251128C00545000,CAT,2025-11-28 18:00:00,call,545.0,2025-10-09 13:30:00,4,2025-11-24 21:00:00,18.05,118,18.675,19.3,30,18.5,112,4,True,14.6,4.075,559.6,False,1.25,0.06693440428380187,0.9739099356683345,-2.6090064331665515,ATM,3,236
CAT,2025-11-24,CAT251128C00547500,CAT,2025-11-28 18:00:00,call,547.5,2025-11-10 14:30:00,4,2025-11-24 21:00:00,16.2,66,16.25,16.3,9,18.62,97,4,True,12.1,4.15,559.6,False,0.10000000000000142,0.0061538461538462414,0.9783774124374552,-2.1622587562544715,ATM,3,236
CAT,2025-11-24,CAT251128C00550000,CAT,2025-11-28 18:00:00,call,550.0,2025-10-09 13:30:00,4,2025-11-24 21:00:00,13.95,72,14.25,14.55,26,15.75,419,35,True,9.6,4.65,559.6,False,0.6000000000000014,0.04210526315789484,0.9828448892065761,-1.7155110793423916,ATM,3,236
CAT,2025-11-24,CAT251128C00552500,CAT,2025-11-28 18:00:00,call,552.5,2025-11-10 14:30:00,4,2025-11-24 21:00:00,13.15,5,13.1,13.05,38,13.5,52,48,True,7.1,6.0,559.6,False,-0.09999999999999964,-0.007633587786259515,0.9873123659756969,-1.2687634024303114,ATM,3,236
CAT,2025-11-24,CAT251128C00555000,CAT,2025-11-28 18:00:00,call,555.0,2025-10-09 13:30:00,4,2025-11-24 21:00:00,11.05,24,11.15,11.25,52,11.8,524,123,True,4.6,6.55,559.6,False,0.1999999999999993,0.01793721973094164,0.9917798427448177,-0.8220157255182313,ATM,3,236
CAT,2025-11-24,CAT251128C00557500,CAT,2025-11-28 18:00:00,call,557.5,2025-11-10 14:30:00,4,2025-11-24 21:00:00,9.55,35,9.625,9.7,35,10.15,60,61,True,2.1,7.525,559.6,False,0.14999999999999858,0.015584415584415437,0.9962473195139385,-0.3752680486061513,ATM,3,236
