ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2,realised_vol
NVDA,2025-05-01,NVDA250530C00095000,NVDA,2025-05-30 20:00:00,call,95,2025-04-10 13:30:00,29,2025-05-01 20:00:00,18.2,79,18.525,18.85,131,19.01,1259,285,True,16.61,1.915,111.61,False,0.6500000000000021,0.0350877192982457,0.8511782098378281,-14.882179016217185,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00096000,NVDA,2025-05-30 20:00:00,call,96,2025-04-14 13:30:00,29,2025-05-01 20:00:00,17.25,10,17.625,18.0,8,19.35,259,44,True,15.61,2.015,111.61,False,0.75,0.0425531914893617,0.8601379804677001,-13.986201953229996,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00097000,NVDA,2025-05-30 20:00:00,call,97,2025-04-10 13:30:00,29,2025-05-01 20:00:00,16.4,10,16.775,17.15,8,16.95,233,42,True,14.61,2.165,111.61,False,0.75,0.044709388971684,0.8690977510975719,-13.09022489024281,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00098000,NVDA,2025-05-30 20:00:00,call,98,2025-04-10 13:30:00,29,2025-05-01 20:00:00,15.9,5,16.55,17.2,10,17.5,387,42,True,13.61,2.94,111.61,False,1.299999999999999,0.0785498489425981,0.8780575217274438,-12.194247827255625,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00099000,NVDA,2025-05-30 20:00:00,call,99,2025-04-10 13:30:00,29,2025-05-01 20:00:00,13.8,62,15.1,16.4,17,15.85,257,154,True,12.61,2.49,111.61,False,2.599999999999998,0.172185430463576,0.8870172923573156,-11.298270764268434,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00100000,NVDA,2025-05-30 20:00:00,call,100,2025-04-10 13:30:00,29,2025-05-01 20:00:00,14.1,145,14.45,14.8,116,14.75,3779,611,True,11.61,2.84,111.61,False,0.7000000000000011,0.0484429065743945,0.8959770629871875,-10.402293701281248,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00101000,NVDA,2025-05-30 20:00:00,call,101,2025-04-10 13:30:00,29,2025-05-01 20:00:00,13.65,5,13.75,13.85,5,14.9,1050,67,True,10.61,3.14,111.61,False,0.1999999999999993,0.0145454545454544,0.9049368336170596,-9.50631663829406,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00102000,NVDA,2025-05-30 20:00:00,call,102,2025-04-10 13:30:00,29,2025-05-01 20:00:00,12.9,5,13.375,13.85,5,13.9,553,111,True,9.61,3.765,111.61,False,0.9499999999999992,0.0710280373831775,0.9138966042469312,-8.610339575306872,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00103000,NVDA,2025-05-30 20:00:00,call,103,2025-04-10 13:30:00,29,2025-05-01 20:00:00,11.75,216,12.35,12.95,211,12.64,596,77,True,8.61,3.74,111.61,False,1.1999999999999993,0.0971659919028339,0.9228563748768032,-7.714362512319683,ITM,2,29,0.9072838912133538
NVDA,2025-05-01,NVDA250530C00104000,NVDA,2025-05-30 20:00:00,call,104,2025-04-10 13:30:00,29,2025-05-01 20:00:00,10.85,90,11.25,11.65,10,11.55,1692,152,True,7.61,3.64,111.61,False,0.8000000000000007,0.0711111111111111,0.931816145506675,-6.818385449332497,ITM,2,29,0.9072838912133538
