ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
AAPL,2025-02-18,AAPL250516C00195000,AAPL,2025-05-16 20:00:00,call,195,2025-01-06 14:30:00,87,2025-02-18 21:00:00,52.2,17,52.45,52.7,15,51.84,3453,6,True,49.47,2.98,244.47,False,0.5,0.009532888465204956,0.797643882684992,-20.235611731500796,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00200000,AAPL,2025-05-16 20:00:00,call,200,2025-01-06 14:30:00,87,2025-02-18 21:00:00,47.45,26,47.775,48.1,31,46.45,528,210,True,44.47,3.305,244.47,False,0.6499999999999986,0.013605442176870718,0.8180962899333252,-18.190371006667487,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00205000,AAPL,2025-05-16 20:00:00,call,205,2025-01-06 14:30:00,87,2025-02-18 21:00:00,42.9,7,43.2,43.5,31,41.2,410,8,True,39.47,3.73,244.47,False,0.6000000000000014,0.013888888888888921,0.8385486971816583,-16.14513028183417,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00210000,AAPL,2025-05-16 20:00:00,call,210,2025-01-06 14:30:00,87,2025-02-18 21:00:00,38.4,32,38.575,38.75,39,36.48,4574,31,True,34.47,4.105,244.47,False,0.3500000000000014,0.009073233959818572,0.8590011044299914,-14.099889557000859,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00215000,AAPL,2025-05-16 20:00:00,call,215,2025-01-06 14:30:00,87,2025-02-18 21:00:00,33.95,56,34.1,34.25,37,34.27,1030,4,True,29.47,4.63,244.47,False,0.29999999999999716,0.008797653958944197,0.8794535116783245,-12.054648832167546,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00220000,AAPL,2025-05-16 20:00:00,call,220,2025-01-06 14:30:00,87,2025-02-18 21:00:00,29.55,39,29.775,30.0,33,29.0,816,238,True,24.47,5.305,244.47,False,0.4499999999999993,0.015113350125944561,0.8999059189266577,-10.009408107334233,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00225000,AAPL,2025-05-16 20:00:00,call,225,2025-01-06 14:30:00,87,2025-02-18 21:00:00,25.7,40,25.875,26.05,23,25.3,1844,100,True,19.47,6.405,244.47,False,0.3500000000000014,0.013526570048309233,0.9203583261749908,-7.96416738250092,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00230000,AAPL,2025-05-16 20:00:00,call,230,2025-01-06 14:30:00,87,2025-02-18 21:00:00,21.85,35,22.025,22.2,70,21.5,1679,151,True,14.47,7.555,244.47,False,0.34999999999999787,0.01589103291713952,0.9408107334233239,-5.918926657667607,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00235000,AAPL,2025-05-16 20:00:00,call,235,2025-01-06 14:30:00,87,2025-02-18 21:00:00,18.3,43,18.4,18.5,18,17.75,1914,79,True,9.47,8.93,244.47,False,0.1999999999999993,0.010869565217391266,0.9612631406716571,-3.8736859328342943,ITM,1,-43
AAPL,2025-02-18,AAPL250516C00240000,AAPL,2025-05-16 20:00:00,call,240,2025-01-06 14:30:00,87,2025-02-18 21:00:00,15.0,80,15.125,15.25,69,15.0,2555,307,True,4.47,10.655,244.47,False,0.25,0.01652892561983471,0.9817155479199902,-1.8284452080009812,ATM,1,-43
AAPL,2025-02-18,AAPL250516C00245000,AAPL,2025-05-16 20:00:00,call,245,2025-01-06 14:30:00,87,2025-02-18 21:00:00,12.2,20,12.25,12.3,20,12.25,5831,692,False,0.0,12.25,244.47,False,0.10000000000000142,0.008163265306122564,1.0021679551683234,0.21679551683233161,ATM,1,-43
AAPL,2025-02-18,AAPL250516C00250000,AAPL,2025-05-16 20:00:00,call,250,2025-01-06 14:30:00,87,2025-02-18 21:00:00,9.65,33,9.7,9.75,101,9.66,7087,377,False,0.0,9.7,244.47,False,0.09999999999999964,0.010309278350515427,1.0226203624166565,2.2620362416656445,ATM,1,-43
AAPL,2025-02-18,AAPL250516C00255000,AAPL,2025-05-16 20:00:00,call,255,2025-01-06 14:30:00,87,2025-02-18 21:00:00,7.45,37,7.525,7.6,42,7.07,45788,2108,False,0.0,7.525,244.47,False,0.14999999999999947,0.019933554817275677,1.0430727696649895,4.307276966498957,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00260000,AAPL,2025-05-16 20:00:00,call,260,2025-01-06 14:30:00,87,2025-02-18 21:00:00,5.65,91,5.725,5.8,35,5.7,7347,904,False,0.0,5.725,244.47,False,0.14999999999999947,0.026200873362445323,1.0635251769133227,6.352517691332269,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00265000,AAPL,2025-05-16 20:00:00,call,265,2025-01-06 14:30:00,87,2025-02-18 21:00:00,4.2,12,4.25,4.3,43,4.02,6734,180,False,0.0,4.25,244.47,False,0.09999999999999964,0.0235294117647058,1.083977584161656,8.397758416165583,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00270000,AAPL,2025-05-16 20:00:00,call,270,2025-01-06 14:30:00,87,2025-02-18 21:00:00,3.1,8,3.15,3.2,208,3.07,4902,246,False,0.0,3.15,244.47,False,0.10000000000000009,0.03174603174603177,1.1044299914099889,10.442999140998896,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00275000,AAPL,2025-05-16 20:00:00,call,275,2025-01-06 14:30:00,87,2025-02-18 21:00:00,2.1,93,2.21,2.32,85,2.25,953,314,False,0.0,2.21,244.47,False,0.21999999999999975,0.09954751131221708,1.124882398658322,12.488239865832208,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00280000,AAPL,2025-05-16 20:00:00,call,280,2025-01-06 14:30:00,87,2025-02-18 21:00:00,1.51,53,1.595,1.68,125,1.62,3759,133,False,0.0,1.595,244.47,False,0.16999999999999993,0.10658307210031344,1.1453348059066553,14.533480590665521,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00285000,AAPL,2025-05-16 20:00:00,call,285,2025-01-06 14:30:00,87,2025-02-18 21:00:00,1.05,63,1.135,1.22,190,1.11,1586,170,False,0.0,1.135,244.47,False,0.16999999999999993,0.14977973568281933,1.1657872131549885,16.578721315498836,OTM,1,-43
AAPL,2025-02-18,AAPL250516C00290000,AAPL,2025-05-16 20:00:00,call,290,2025-01-06 14:30:00,87,2025-02-18 21:00:00,0.85,26,0.86,0.87,30,0.85,368,169,False,0.0,0.86,244.47,False,0.020000000000000018,0.023255813953488393,1.1862396204033214,18.62396204033215,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00195000,AAPL,2025-05-16 20:00:00,put,195,2025-01-06 14:30:00,87,2025-02-18 21:00:00,0.81,72,0.88,0.95,92,0.96,5926,53,False,0.0,0.88,244.47,False,0.1399999999999999,0.15909090909090898,0.797643882684992,-20.235611731500796,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00200000,AAPL,2025-05-16 20:00:00,put,200,2025-01-06 14:30:00,87,2025-02-18 21:00:00,1.05,59,1.115,1.18,158,1.21,12304,197,False,0.0,1.115,244.47,False,0.1299999999999999,0.11659192825112098,0.8180962899333252,-18.190371006667487,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00205000,AAPL,2025-05-16 20:00:00,put,205,2025-01-06 14:30:00,87,2025-02-18 21:00:00,1.33,70,1.41,1.49,113,1.53,2038,130,False,0.0,1.41,244.47,False,0.15999999999999992,0.1134751773049645,0.8385486971816583,-16.14513028183417,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00210000,AAPL,2025-05-16 20:00:00,put,210,2025-01-06 14:30:00,87,2025-02-18 21:00:00,1.75,61,1.825,1.9,173,1.98,2335,56,False,0.0,1.825,244.47,False,0.1499999999999999,0.08219178082191776,0.8590011044299914,-14.099889557000859,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00215000,AAPL,2025-05-16 20:00:00,put,215,2025-01-06 14:30:00,87,2025-02-18 21:00:00,2.39,37,2.41,2.43,31,2.51,2298,112,False,0.0,2.41,244.47,False,0.040000000000000036,0.016597510373443997,0.8794535116783245,-12.054648832167546,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00220000,AAPL,2025-05-16 20:00:00,put,220,2025-01-06 14:30:00,87,2025-02-18 21:00:00,3.05,331,3.1,3.15,324,3.15,2076,1279,False,0.0,3.1,244.47,False,0.10000000000000009,0.03225806451612906,0.8999059189266577,-10.009408107334233,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00225000,AAPL,2025-05-16 20:00:00,put,225,2025-01-06 14:30:00,87,2025-02-18 21:00:00,3.95,135,4.0,4.05,448,4.23,9162,319,False,0.0,4.0,244.47,False,0.09999999999999964,0.02499999999999991,0.9203583261749908,-7.96416738250092,OTM,1,-43
AAPL,2025-02-18,AAPL250516P00230000,AAPL,2025-05-16 20:00:00,put,230,2025-01-06 14:30:00,87,2025-02-18 21:00:00,5.05,98,5.1,5.15,52,5.34,2504,190,False,0.0,5.1,244.47,False,0.10000000000000053,0.01960784313725501,0.9408107334233239,-5.918926657667607,OTM,1,-43
