ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega,is_illiquid
NVDA,2025-05-12,NVDA251121P00090000,NVDA,2025-11-21 21:00:00,put,90,2025-02-10 14:30:00,193,2025-05-12 20:00:00,3.55,111,3.575,3.6,278,3.7,17879,207,False,0,3.575,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00095000,NVDA,2025-11-21 21:00:00,put,95,2025-02-10 14:30:00,193,2025-05-12 20:00:00,4.55,396,4.6,4.65,214,4.67,12115,1694,False,0,4.6,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00100000,NVDA,2025-11-21 21:00:00,put,100,2025-02-10 14:30:00,193,2025-05-12 20:00:00,5.8,420,5.85,5.9,126,5.85,17211,2301,False,0,5.85,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00105000,NVDA,2025-11-21 21:00:00,put,105,2025-02-10 14:30:00,193,2025-05-12 20:00:00,7.3,193,7.35,7.4,176,7.4,17633,193,False,0,7.35,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00110000,NVDA,2025-11-21 21:00:00,put,110,2025-02-10 14:30:00,193,2025-05-12 20:00:00,9.05,55,9.1,9.15,185,9.25,13478,89,False,0,9.1,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00115000,NVDA,2025-11-21 21:00:00,put,115,2025-02-10 14:30:00,193,2025-05-12 20:00:00,11.0,118,11.05,11.1,148,11.1,4951,765,False,0,11.05,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00120000,NVDA,2025-11-21 21:00:00,put,120,2025-02-10 14:30:00,193,2025-05-12 20:00:00,13.2,232,13.275,13.35,163,13.4,10603,499,False,0,13.275,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00125000,NVDA,2025-11-21 21:00:00,put,125,2025-02-10 14:30:00,193,2025-05-12 20:00:00,15.7,30,15.75,15.8,4,15.85,9021,222,True,2,13.75,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00130000,NVDA,2025-11-21 21:00:00,put,130,2025-02-10 14:30:00,193,2025-05-12 20:00:00,18.4,66,18.475,18.55,96,18.6,2736,31,True,7,11.475,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00135000,NVDA,2025-11-21 21:00:00,put,135,2025-02-10 14:30:00,193,2025-05-12 20:00:00,21.4,49,21.475,21.55,120,21.75,1764,15,True,12,9.475,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00140000,NVDA,2025-11-21 21:00:00,put,140,2025-02-10 14:30:00,193,2025-05-12 20:00:00,24.6,272,24.7,24.8,28,24.9,693,175,True,17,7.7,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00145000,NVDA,2025-11-21 21:00:00,put,145,2025-02-10 14:30:00,193,2025-05-12 20:00:00,28.1,2,28.175,28.25,2,28.73,681,131,True,22,6.175,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00150000,NVDA,2025-11-21 21:00:00,put,150,2025-02-10 14:30:00,193,2025-05-12 20:00:00,31.8,3,31.9,32.0,3,33.55,464,1,True,27,4.9,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00155000,NVDA,2025-11-21 21:00:00,put,155,2025-02-10 14:30:00,193,2025-05-12 20:00:00,35.4,381,35.65,35.9,2,44.25,806,0,True,32,3.65,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00160000,NVDA,2025-11-21 21:00:00,put,160,2025-02-10 14:30:00,193,2025-05-12 20:00:00,39.5,587,39.875,40.25,665,41.57,537,5,True,37,2.875,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00165000,NVDA,2025-11-21 21:00:00,put,165,2025-02-10 14:30:00,193,2025-05-12 20:00:00,43.75,462,44.125,44.5,446,44.25,226,190,True,42,2.125,123,,,,,,False
NVDA,2025-05-12,NVDA251121P00170000,NVDA,2025-11-21 21:00:00,put,170,2025-02-10 14:30:00,193,2025-05-12 20:00:00,48.25,288,48.55,48.85,398,49.65,195,11,True,47,1.55,123,,,,,,False
