ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega
AAPL,2025-11-24,AAPL260220C00220000,AAPL,2026-02-20 16:00:00 -05:00,call,220,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,59.1,13,59.35,59.6,73,59.0,2690,19,True,55.92,3.43,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00225000,AAPL,2026-02-20 16:00:00 -05:00,call,225,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,54.7,13,54.85,55.0,39,54.3,2871,4,True,50.92,3.93,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00230000,AAPL,2026-02-20 16:00:00 -05:00,call,230,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,50.15,9,50.2,50.25,55,51.2,5553,22,True,45.92,4.28,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00235000,AAPL,2026-02-20 16:00:00 -05:00,call,235,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,45.7,8,45.725,45.75,49,45.5,4149,15,True,40.92,4.805,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00240000,AAPL,2026-02-20 16:00:00 -05:00,call,240,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,41.3,8,41.325,41.35,34,41.55,5703,215,True,35.92,5.405,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00245000,AAPL,2026-02-20 16:00:00 -05:00,call,245,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,37.05,10,37.075,37.1,39,37.87,6146,21,True,30.92,6.155,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00250000,AAPL,2026-02-20 16:00:00 -05:00,call,250,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,32.9,8,32.95,33.0,45,33.73,5778,95,True,25.92,7.03,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00255000,AAPL,2026-02-20 16:00:00 -05:00,call,255,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,28.95,17,29.0,29.05,65,30.0,44922,184,True,20.92,8.08,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00260000,AAPL,2026-02-20 16:00:00 -05:00,call,260,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,25.15,8,25.175,25.2,73,25.2,9731,63,True,15.92,9.255,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00265000,AAPL,2026-02-20 16:00:00 -05:00,call,265,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,21.55,35,21.6,21.65,55,21.65,7384,522,True,10.92,10.68,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00270000,AAPL,2026-02-20 16:00:00 -05:00,call,270,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,18.35,10,18.375,18.4,49,18.4,12342,846,True,5.92,12.455,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00275000,AAPL,2026-02-20 16:00:00 -05:00,call,275,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,15.35,10,15.375,15.4,52,15.35,15114,986,True,0.92,14.455,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00280000,AAPL,2026-02-20 16:00:00 -05:00,call,280,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,12.65,5,12.675,12.7,52,13.3,7724,410,False,0.0,12.675,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00285000,AAPL,2026-02-20 16:00:00 -05:00,call,285,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,10.3,13,10.325,10.35,78,10.35,6791,238,False,0.0,10.325,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00290000,AAPL,2026-02-20 16:00:00 -05:00,call,290,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,8.25,3,8.275,8.3,107,8.25,6475,1323,False,0.0,8.275,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00295000,AAPL,2026-02-20 16:00:00 -05:00,call,295,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,6.5,3,6.55,6.6,130,6.55,5506,1131,False,0.0,6.55,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00300000,AAPL,2026-02-20 16:00:00 -05:00,call,300,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,5.05,11,5.1,5.15,72,5.15,11701,1644,False,0.0,5.1,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00310000,AAPL,2026-02-20 16:00:00 -05:00,call,310,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,2.97,23,3.01,3.05,41,3.2,9579,362,False,0.0,3.01,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00320000,AAPL,2026-02-20 16:00:00 -05:00,call,320,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,1.7,10,1.73,1.76,40,1.73,10823,2183,False,0.0,1.73,275.92,,,,,
AAPL,2025-11-24,AAPL260220C00330000,AAPL,2026-02-20 16:00:00 -05:00,call,330,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,0.95,17,0.975,1.0,41,0.96,1645,679,False,0.0,0.975,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00220000,AAPL,2026-02-20 16:00:00 -05:00,put,220,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,1.51,24,1.525,1.54,17,1.53,16413,554,False,0.0,1.525,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00225000,AAPL,2026-02-20 16:00:00 -05:00,put,225,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,1.82,21,1.835,1.85,5,1.83,3533,112,False,0.0,1.835,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00230000,AAPL,2026-02-20 16:00:00 -05:00,put,230,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,2.2,12,2.21,2.22,9,2.25,7872,113,False,0.0,2.21,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00235000,AAPL,2026-02-20 16:00:00 -05:00,put,235,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,2.66,5,2.69,2.72,15,2.7,1743,78,False,0.0,2.69,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00240000,AAPL,2026-02-20 16:00:00 -05:00,put,240,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,3.2,80,3.25,3.3,24,3.27,3079,1229,False,0.0,3.25,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00245000,AAPL,2026-02-20 16:00:00 -05:00,put,245,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,3.9,42,3.925,3.95,26,3.9,3057,111,False,0.0,3.925,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00250000,AAPL,2026-02-20 16:00:00 -05:00,put,250,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,4.75,45,4.775,4.8,18,4.8,3511,485,False,0.0,4.775,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00255000,AAPL,2026-02-20 16:00:00 -05:00,put,255,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,5.75,69,5.775,5.8,15,5.75,2465,598,False,0.0,5.775,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00260000,AAPL,2026-02-20 16:00:00 -05:00,put,260,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,6.95,78,6.975,7.0,13,7.0,2215,443,False,0.0,6.975,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00265000,AAPL,2026-02-20 16:00:00 -05:00,put,265,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,8.4,62,8.425,8.45,10,8.05,4751,478,False,0.0,8.425,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00270000,AAPL,2026-02-20 16:00:00 -05:00,put,270,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,10.05,64,10.1,10.15,12,10.05,2151,335,False,0.0,10.1,275.92,,,,,
AAPL,2025-11-24,AAPL260220P00275000,AAPL,2026-02-20 16:00:00 -05:00,put,275,2025-06-06 09:30:00 -04:00,88,2025-11-24 16:00:00 -05:00,12.05,60,12.05,12.05,15,12.08,1189,417,False,0.0,12.05,275.92,,,,,
