ticker,date,open,high,low,close,volume,log_return
NVDA,2025-03-24,119.85,122.19,119.31,121.38,228452534,
NVDA,2025-03-25,120.52,121.26,118.89,120.66,167447198,-0.00594944739509343
NVDA,2025-03-26,118.7,118.81,112.68,113.73,296431667,-0.059149454816262395
NVDA,2025-03-27,111.32,114.42,110.63,111.4,236902055,-0.020699890703169445
NVDA,2025-03-28,111.46,112.84,109.04,109.64,229872549,-0.015925056058598622
NVDA,2025-03-31,105.11,110.93,103.63,108.35,299212653,-0.011835543452217054
NVDA,2025-04-01,108.49,110.17,106.44,110.12,222614034,0.016203952292038536
NVDA,2025-04-02,107.26,111.95,106.76,110.39,220601243,0.002448869755853713
NVDA,2025-04-03,103.49,105.61,101.58,101.78,338769412,-0.08120592886957372
NVDA,2025-04-04,98.89,100.11,92.09,94.29,532273810,-0.07643848168310063
NVDA,2025-04-07,87.44,101.73,86.6,97.62,611041347,0.03470725098141551
NVDA,2025-04-08,103.78,105.83,94.44,96.28,476243392,-0.013821777544130266
NVDA,2025-04-09,98.87,115.07,97.51,114.3,612918336,0.1715659578858938
NVDA,2025-04-10,109.34,110.83,99.13,107.54,437812353,-0.06096369941923284
NVDA,2025-04-11,108.47,111.52,107.45,110.9,313417265,0.030766022974789232
NVDA,2025-04-14,114.08,114.26,109.04,110.68,264705049,-0.0019857394375961557
NVDA,2025-04-15,110.94,113.59,110.47,112.17,228966900,0.013372422738406805
NVDA,2025-04-16,104.53,106.76,100.43,104.47,397016870,-0.07111562880771545
NVDA,2025-04-17,104.43,104.45,100.03,101.47,292517465,-0.02913676055842505
NVDA,2025-04-21,98.75,99.42,95.02,96.89,288501136,-0.04618687389407878
NVDA,2025-04-22,98.76,99.79,97.26,98.87,241004784,0.02022954151212889
NVDA,2025-04-23,104.5,104.78,102.0,102.69,247525971,0.03790888530116206
NVDA,2025-04-24,103.45,106.51,103.09,106.4,220815041,0.035490835697340344
NVDA,2025-04-25,106.82,111.89,105.71,110.98,251064672,0.042144427990211175
NVDA,2025-04-28,109.66,110.34,106.0,108.7,207708479,-0.020758210770591444
NVDA,2025-04-29,107.64,110.17,107.41,108.99,170444263,0.0026643407740564087
NVDA,2025-04-30,104.45,108.89,104.06,108.89,235044611,-0.0009179365432506192
NVDA,2025-05-01,113.05,114.91,111.27,111.58,236121507,0.02440362405941277
NVDA,2025-05-02,114.15,115.37,113.34,114.47,190194778,0.025570957513002725
NVDA,2025-05-05,112.88,114.64,112.63,113.79,133163241,-0.005958135561467596
NVDA,2025-05-06,111.45,114.71,110.8,113.51,158525621,-0.002463705601669216
NVDA,2025-05-07,113.02,117.65,112.26,117.03,207827821,0.030539373419426856
NVDA,2025-05-08,118.22,118.65,115.82,117.34,198428122,0.0026453913110389147
NVDA,2025-05-09,117.32,118.2,115.18,116.62,132972189,-0.006154917703703848
NVDA,2025-05-12,121.94,122.97,120.25,122.97,225023345,0.05301963739034582
NVDA,2025-05-13,124.95,131.19,124.44,129.9,330430105,0.05482450049219796
NVDA,2025-05-14,133.16,135.4,131.65,135.31,281180830,0.040803518598998965
NVDA,2025-05-15,134.26,136.27,132.63,134.8,226632563,-0.0037762437973460753
NVDA,2025-05-16,136.19,136.32,133.43,135.37,226542451,0.004219571719488146
NVDA,2025-05-19,132.36,135.84,132.36,135.54,193154571,0.0012550295102718842
NVDA,2025-05-20,134.26,134.55,132.59,134.35,161514247,-0.008818464646466687
NVDA,2025-05-21,133.03,137.37,130.56,131.77,270608738,-0.019390356504339238
NVDA,2025-05-22,132.2,134.22,131.52,132.8,187343954,0.0077862584851727075
NVDA,2025-05-23,129.97,132.65,129.13,131.26,198821324,-0.01166414799675691
NVDA,2025-05-27,134.12,135.63,133.28,135.47,192953613,0.03157012454706835
NVDA,2025-05-28,135.99,137.22,134.76,134.78,304021146,-0.005106394074574028
NVDA,2025-05-29,142.21,143.46,137.88,139.16,370615167,0.0319805307656704
NVDA,2025-05-30,138.68,139.59,132.89,135.1,333170851,-0.029609105317588133
NVDA,2025-06-02,135.46,138.09,135.37,137.35,197663116,0.0165171675751296
NVDA,2025-06-03,138.75,141.97,137.92,141.19,225578783,0.02757408848015084
NVDA,2025-06-04,142.16,142.36,139.51,141.89,167120819,0.004945608497788118
NVDA,2025-06-05,142.14,143.97,138.8,139.96,232410759,-0.013695442019734539
NVDA,2025-06-06,142.48,143.24,141.48,141.69,153986153,0.012284905076648126
NVDA,2025-06-09,143.16,144.97,141.91,142.6,185114494,0.006401935404059999
NVDA,2025-06-10,142.66,144.26,141.49,143.93,155881897,0.009283562294383934
NVDA,2025-06-11,144.59,144.97,141.85,142.81,167694044,-0.007811994809737577
NVDA,2025-06-12,141.95,144.98,141.83,144.98,162364991,0.015080726407889884
NVDA,2025-06-13,142.46,143.56,140.83,141.95,180820565,-0.02112091895375154
NVDA,2025-06-16,143.32,146.15,143.18,144.67,183133666,0.018980403722518715
NVDA,2025-06-17,144.47,145.2,143.76,144.1,139108000,-0.003947783636022354
NVDA,2025-06-18,143.98,145.63,143.1,145.46,161494121,0.009393631720918299
NVDA,2025-06-20,145.43,146.18,142.63,143.83,242956157,-0.011269088110596754
NVDA,2025-06-23,142.48,144.76,142.01,144.15,154308941,0.0022223774686133757
NVDA,2025-06-24,145.54,147.94,145.48,147.88,187566121,0.02554670998401999
NVDA,2025-06-25,149.25,154.42,149.24,154.28,269146471,0.04236799927159592
NVDA,2025-06-26,155.95,156.69,153.97,154.99,198145746,0.004591465368932378
NVDA,2025-06-27,156.01,158.68,155.23,157.72,263234539,0.01746071030046691
NVDA,2025-06-30,158.37,158.63,155.93,157.96,194580316,0.0015205274090223425
NVDA,2025-07-01,156.26,157.17,151.46,153.27,213143621,-0.03014076440763236
NVDA,2025-07-02,152.95,157.57,152.94,157.22,171224111,0.025445026354794054
NVDA,2025-07-03,158.34,160.95,157.74,159.31,143716055,0.013205891219193156
NVDA,2025-07-07,158.17,159.28,157.32,158.21,140138975,-0.006928725123830911
NVDA,2025-07-08,159.3,160.19,158.36,159.97,138133025,0.011063033192531683
NVDA,2025-07-09,161.19,164.39,161.13,162.85,183656443,0.01784323406873817
NVDA,2025-07-10,164.29,164.47,161.58,164.07,167704075,0.007463634304548528
NVDA,2025-07-11,163.69,167.86,163.44,164.89,193633263,0.004985418886085708
NVDA,2025-07-14,165.34,165.46,161.99,164.04,136975754,-0.005168284389018397
NVDA,2025-07-15,171.16,172.37,169.17,170.67,230627350,0.039621566906807175
NVDA,2025-07-16,171.03,171.72,168.87,171.34,158831509,0.003918019105232229
NVDA,2025-07-17,171.99,174.13,170.8,172.97,160841119,0.009468282519934128
NVDA,2025-07-18,173.61,174.22,171.23,172.38,146456416,-0.0034168268365788804
NVDA,2025-07-21,172.72,173.35,170.97,171.35,123126136,-0.005993093898635352
NVDA,2025-07-22,171.31,171.36,164.55,167.0,193114327,-0.025714435903862697
NVDA,2025-07-23,169.5,171.23,167.94,170.75,154082197,0.02220668603414432
NVDA,2025-07-24,172.41,173.8,171.27,173.71,128984628,0.017186743662932644
NVDA,2025-07-25,173.58,174.69,172.93,173.47,122316792,-0.0013825683405145465
NVDA,2025-07-28,173.99,176.97,173.94,176.72,140023521,0.018561885338544273
NVDA,2025-07-29,177.93,179.35,174.99,175.48,154077512,-0.007041482813848588
NVDA,2025-07-30,176.48,179.86,176.01,179.24,174312208,0.021200613619929174
NVDA,2025-07-31,182.87,183.27,175.9,177.84,221685446,-0.007841420262001127
NVDA,2025-08-01,174.06,176.51,170.86,173.69,204528985,-0.023612168590019914
NVDA,2025-08-04,175.13,180.17,174.49,179.97,148174609,0.035518069267190255
NVDA,2025-08-05,179.59,180.23,175.87,178.23,156407621,-0.009715319297351675
NVDA,2025-08-06,176.3,179.87,176.22,179.39,137192265,0.0064873556752395025
NVDA,2025-08-07,181.54,183.85,178.77,180.74,151878365,0.007497327762810759
NVDA,2025-08-08,181.52,183.27,180.37,182.67,123396679,0.010621711814782634
NVDA,2025-08-11,182.02,183.81,180.22,182.03,138323191,-0.0035097376307848447
NVDA,2025-08-12,182.93,184.45,179.43,183.13,145729202,0.006024774495049759
NVDA,2025-08-13,182.58,183.94,179.32,181.56,179871724,-0.008610105564592374
NVDA,2025-08-14,179.72,182.99,179.43,181.99,129553959,0.002365562924050618
NVDA,2025-08-15,181.85,181.87,178.01,180.42,156602161,-0.008664274283822852
NVDA,2025-08-18,180.57,182.91,180.56,181.98,132007959,0.008609324700052122
NVDA,2025-08-19,182.4,182.47,175.46,175.61,185229219,-0.03563116374078137
NVDA,2025-08-20,175.14,175.97,168.77,175.37,215142725,-0.0013675995065620633
NVDA,2025-08-21,174.82,176.87,173.78,174.95,140040850,-0.002397808867504267
