ticker,date,open,high,low,close,volume,log_return
CAT,2025-03-24,335.93,338.49,334.68,337.03,2277496,
CAT,2025-03-25,338.92,340.13,336.2,337.97,1678009,0.0027851869856372093
CAT,2025-03-26,338.7,342.56,334.19,336.48,1705089,-0.004418422193008602
CAT,2025-03-27,336.45,337.35,332.06,334.69,1481115,-0.005333981685691044
CAT,2025-03-28,332.43,333.66,323.6,325.22,1965493,-0.028702853871122213
CAT,2025-03-31,321.21,327.47,317.63,325.32,2837768,0.00030743690099794077
CAT,2025-04-01,322.57,327.7,319.49,326.08,1955410,0.0023334367357855
CAT,2025-04-02,321.7,331.78,321.67,330.12,1747616,0.012313474690123628
CAT,2025-04-03,315.33,320.29,300.86,301.61,4638692,-0.09032143264167325
CAT,2025-04-04,281.13,290.3,277.68,284.17,7216842,-0.059562141456767796
CAT,2025-04-07,272.25,290.35,263.67,276.26,7824699,-0.0282301993542288
CAT,2025-04-08,285.96,287.82,264.63,270.22,4989008,-0.022106009240000644
CAT,2025-04-09,267.08,297.76,265.48,296.92,6457333,0.09422630021753314
CAT,2025-04-10,292.65,294.22,276.0,285.24,4116825,-0.04013181108924336
CAT,2025-04-11,285.03,291.4,280.28,289.47,3197931,0.014720733540299255
CAT,2025-04-14,294.62,298.37,291.7,294.07,2758813,0.01576616953620165
CAT,2025-04-15,292.8,297.63,288.42,289.45,3611291,-0.01583526371159043
CAT,2025-04-16,288.74,291.72,283.71,286.2,3017437,-0.011291703402663111
CAT,2025-04-17,288.2,293.65,287.94,290.26,2717624,0.014086205919866167
CAT,2025-04-21,286.78,288.43,279.96,282.23,2978308,-0.028054731690479444
CAT,2025-04-22,284.96,290.65,284.47,288.6,2231223,0.022319304988033202
CAT,2025-04-23,298.68,302.67,292.58,293.16,2458327,0.015676888717879024
CAT,2025-04-24,294.81,305.49,294.45,304.15,2874396,0.036802465709064744
CAT,2025-04-25,302.41,305.27,301.23,303.75,2162570,-0.0013160061119561067
CAT,2025-04-28,303.75,308.68,301.17,304.35,2189801,0.00197336028517529
CAT,2025-04-29,302.31,305.95,300.24,304.69,2651012,0.0011165113467761095
CAT,2025-04-30,312.43,313.26,299.51,306.54,5124833,0.006053386284052174
CAT,2025-05-01,308.63,316.08,308.27,311.19,2961232,0.015055405541084666
CAT,2025-05-02,315.67,321.81,315.67,320.82,3765238,0.03047656007684872
CAT,2025-05-05,316.56,323.59,316.56,320.26,1829247,-0.0017470522943645057
CAT,2025-05-06,318.71,321.24,317.03,318.06,1724184,-0.006893121666560868
CAT,2025-05-07,319.89,319.95,315.3,317.46,1555975,-0.001888218083674382
CAT,2025-05-08,322.01,325.97,320.05,321.39,2553435,0.012303512798481015
CAT,2025-05-09,322.78,324.85,320.46,322.75,1646273,0.004222690784175373
CAT,2025-05-12,340.08,347.9,336.73,339.53,4592046,0.050684278611025174
CAT,2025-05-13,345.85,352.19,345.0,349.43,4132547,0.028740947153110843
CAT,2025-05-14,348.62,349.32,345.7,346.57,2052201,-0.008218437062242984
CAT,2025-05-15,346.36,348.24,345.43,346.72,1580642,0.0004327193594040479
CAT,2025-05-16,348.44,351.09,345.17,350.46,2561699,0.010729039492223915
CAT,2025-05-19,346.61,349.85,345.46,349.46,2277960,-0.002857471369380681
