ticker,date,open,high,low,close,volume,log_return
PG,2025-03-24,161.99,162.41,160.94,161.23,6102109,
PG,2025-03-25,160.89,160.95,157.86,158.5,8366736,-0.017077323658313028
PG,2025-03-26,158.99,162.37,158.64,162.13,7757259,0.022643889244642543
PG,2025-03-27,163.39,164.52,162.17,164.2,6211735,0.012686714456349935
PG,2025-03-28,164.86,165.18,163.14,163.54,5479306,-0.004027588284496656
PG,2025-03-31,163.61,166.57,163.61,165.87,11520451,0.014146740284120145
PG,2025-04-01,166.01,166.48,164.55,166.01,7021507,0.0008436784880333359
PG,2025-04-02,165.53,166.32,163.82,164.97,6274548,-0.006284388318151625
PG,2025-04-03,169.58,170.13,166.17,167.79,9393270,0.016949558313773205
PG,2025-04-04,167.18,168.96,159.1,159.38,13454205,-0.051421909532004255
PG,2025-04-07,159.29,160.3,154.94,155.95,15708009,-0.02175584491578982
PG,2025-04-08,157.98,158.92,152.53,154.16,11541114,-0.011544418947701213
PG,2025-04-09,153.16,160.28,152.51,157.99,10670212,0.024540715778646836
PG,2025-04-10,158.55,160.66,156.46,159.19,10581571,0.0075667174822868655
PG,2025-04-11,159.01,163.53,158.28,162.45,8603200,0.020271804748064674
PG,2025-04-14,162.58,165.57,161.35,164.61,9877411,0.013208777623884628
PG,2025-04-15,164.62,165.62,163.79,163.97,8764978,-0.003895555477216754
PG,2025-04-16,164.76,165.15,161.36,161.95,5897634,-0.012395838644438764
PG,2025-04-17,163.06,167.07,162.88,166.07,7227061,0.025121740601323498
PG,2025-04-21,166.38,166.44,160.89,162.33,8062360,-0.022778085895908046
PG,2025-04-22,162.44,165.29,161.14,164.42,7907421,0.012792829401233516
PG,2025-04-23,162.97,163.17,159.74,162.31,9309164,-0.012916042807008057
PG,2025-04-24,157.19,157.63,153.35,156.24,20077665,-0.038114800348555675
PG,2025-04-25,156.58,158.46,154.51,157.7,12893200,0.009301207400568967
PG,2025-04-28,157.72,159.2,157.08,158.51,8126981,0.005123188840808682
PG,2025-04-29,157.96,159.04,155.91,158.91,8266154,0.002520321414743799
PG,2025-04-30,159.1,159.79,156.65,159.21,12475539,0.001886081283368352
PG,2025-05-01,157.34,158.02,155.77,156.68,6792815,-0.016018576710282728
PG,2025-05-02,157.6,158.47,156.6,157.21,5750165,0.003376982405792074
PG,2025-05-05,157.57,157.59,154.76,155.55,7576219,-0.010615267859776496
PG,2025-05-06,154.78,156.41,154.39,155.96,7703843,0.0026323407707504833
PG,2025-05-07,155.74,156.75,155.27,156.0,6430156,0.0002564431351403711
PG,2025-05-08,155.11,156.7,154.75,155.38,7230806,-0.003982277727262401
PG,2025-05-09,154.76,155.84,154.16,154.41,6453232,-0.00626232718950185
PG,2025-05-12,154.18,157.73,153.46,157.58,7378380,0.02032186348476924
PG,2025-05-13,156.72,157.4,154.11,155.45,7780827,-0.013609129312779317
PG,2025-05-14,154.86,155.88,154.32,154.76,5988905,-0.004448606672450582
PG,2025-05-15,156.3,159.55,155.42,159.06,8727316,0.027405959696677
PG,2025-05-16,159.29,160.06,158.51,159.91,7100784,0.005329667442361419
PG,2025-05-19,160.1,161.74,160.04,161.37,8120219,0.009088707981910214
PG,2025-05-20,161.21,162.57,161.2,162.22,5576561,0.005253573688937789
PG,2025-05-21,161.42,162.93,161.22,162.02,6424153,-0.0012336542398533603
PG,2025-05-22,161.05,162.77,160.63,161.62,6245571,-0.0024718835970436092
PG,2025-05-23,161.42,162.79,160.11,162.44,5349868,0.005060802012795312
PG,2025-05-27,161.86,164.51,161.86,164.3,11423794,0.011385322225125429
PG,2025-05-28,164.19,165.36,163.61,163.91,5385942,-0.002376528341953735
PG,2025-05-29,163.3,165.5,163.0,165.08,4842554,0.007112708183112379
PG,2025-05-30,165.27,167.46,165.12,166.38,12587537,0.00784412397136056
PG,2025-06-02,165.53,165.55,162.8,164.32,7574428,-0.012458582675493624
PG,2025-06-03,163.34,163.95,162.48,163.41,6223447,-0.005553366116555339
PG,2025-06-04,163.25,164.58,162.5,162.52,4939333,-0.005461308944166692
PG,2025-06-05,162.02,162.03,159.16,159.44,10352288,-0.01913339521498684
PG,2025-06-06,159.92,161.83,159.91,160.63,5697877,0.007435907665135504
PG,2025-06-09,160.02,160.63,158.73,159.2,6544199,-0.008942310159392185
PG,2025-06-10,159.33,160.14,158.58,159.48,7680015,0.001757249102871734
PG,2025-06-11,159.27,159.41,158.35,158.76,5960052,-0.004524894598289689
PG,2025-06-12,158.63,159.94,158.34,159.81,6509891,0.006591981682152962
PG,2025-06-13,159.41,159.67,156.61,156.97,7104547,-0.017930905309901924
PG,2025-06-16,157.56,158.61,156.71,157.56,6331961,0.003751633815589477
PG,2025-06-17,156.76,157.06,155.04,155.25,6809747,-0.014769617289117005
PG,2025-06-18,155.28,155.38,154.41,154.76,7211225,-0.0031611909812760217
PG,2025-06-20,154.77,156.05,154.59,155.8,16173371,0.0066976036043357974
PG,2025-06-23,155.79,157.86,155.72,157.71,6588223,0.01218477006281846
PG,2025-06-24,157.85,158.4,156.35,157.05,7470052,-0.004193677514810793
PG,2025-06-25,156.53,157.03,155.43,155.69,5933715,-0.008697375283072463
PG,2025-06-26,156.26,156.27,153.93,155.36,7410446,-0.002121846158568271
PG,2025-06-27,155.41,156.83,155.02,156.56,19256955,0.007694318544805997
PG,2025-06-30,155.97,156.6,154.87,156.03,11238201,-0.0033910266347300403
PG,2025-07-01,156.58,159.18,156.09,157.89,10664891,0.011850291580706374
PG,2025-07-02,157.81,158.02,156.56,157.87,8848744,-0.0001266784901617442
PG,2025-07-03,158.45,158.68,156.49,157.51,6999589,-0.0022829612299915102
PG,2025-07-07,157.57,157.85,156.0,157.19,7225695,-0.002033683573497398
PG,2025-07-08,156.23,156.48,154.19,154.63,12034764,-0.01642009825280748
PG,2025-07-09,154.84,154.93,152.73,154.27,18770894,-0.00233085246349093
PG,2025-07-10,154.5,156.32,153.8,155.22,7201748,0.006139151402144554
PG,2025-07-11,154.79,154.79,153.21,153.81,8053808,-0.009125390962273792
PG,2025-07-14,152.37,152.58,149.71,150.59,11491688,-0.021157162364990826
PG,2025-07-15,150.39,150.87,148.76,149.53,9142615,-0.007063870502975783
PG,2025-07-16,149.59,150.59,149.13,150.56,8478997,0.006864634241317289
PG,2025-07-17,150.86,152.54,150.7,152.41,8319996,0.012212582060688752
PG,2025-07-18,151.64,153.4,151.49,152.94,7337252,0.0034714297183207283
PG,2025-07-21,152.91,153.77,152.73,152.87,6328370,-0.0004578006031362255
PG,2025-07-22,152.76,156.16,152.74,156.11,8186970,0.02097299995563261
PG,2025-07-23,156.01,156.66,155.48,156.07,4804795,-0.0002562624141131602
PG,2025-07-24,156.65,156.8,155.85,156.6,7027392,0.003390159002240508
PG,2025-07-25,155.15,156.23,154.83,156.09,5800248,-0.0032620195863808303
PG,2025-07-28,155.43,155.89,154.05,154.92,7885026,-0.0075239093237705395
PG,2025-07-29,156.44,156.44,152.68,154.43,11466058,-0.003167935411641673
PG,2025-07-30,154.81,154.81,149.93,150.75,8162888,-0.024118083627614785
PG,2025-07-31,149.68,149.88,147.82,148.37,11845443,-0.015913681644592507
PG,2025-08-01,149.66,151.35,148.42,148.55,8594220,0.0012124479459144186
PG,2025-08-04,148.16,149.35,147.93,148.66,7679361,0.0007402173885307283
PG,2025-08-05,148.61,149.96,148.22,148.41,6670065,-0.0016831053894205532
PG,2025-08-06,148.76,151.34,148.12,150.73,7376213,0.015511442914710884
PG,2025-08-07,150.99,151.86,150.57,151.35,6719044,0.004104878645289788
PG,2025-08-08,150.64,151.65,150.44,151.37,5811281,0.00013213530674618278
PG,2025-08-11,151.4,153.22,151.17,152.82,7331707,0.009533587444946668
PG,2025-08-12,152.9,153.38,152.16,152.93,6938336,0.0007195421406113174
PG,2025-08-13,153.04,154.82,152.79,153.24,5812356,0.0020250194724163546
PG,2025-08-14,152.48,152.54,151.13,151.6,6343715,-0.010759846624177035
PG,2025-08-15,152.32,153.43,152.06,152.21,7121700,0.004015673083304338
PG,2025-08-18,152.27,154.73,152.02,153.55,8274726,0.008765100595256028
PG,2025-08-19,153.55,156.49,153.5,156.19,7868129,0.017046967982799567
PG,2025-08-20,156.37,158.78,156.2,157.29,7840355,0.007018020382920098
PG,2025-08-21,155.73,156.84,154.98,156.52,6417695,-0.004907437910339265
PG,2025-08-22,157.16,158.44,156.1,156.46,5797325,-0.00038341108527720224
PG,2025-08-25,156.18,156.49,153.72,153.97,4692505,-0.016042608015107193
PG,2025-08-26,153.75,154.51,153.17,153.8,6337977,-0.0011047211702837486
PG,2025-08-27,153.97,154.93,153.62,154.77,4551219,0.006287086853124708
PG,2025-08-28,154.81,154.82,152.87,153.48,5857727,-0.00836987854591669
PG,2025-08-29,153.91,155.36,153.48,154.85,5318179,0.008886641040460259
PG,2025-09-02,155.17,156.65,154.79,155.79,6432837,0.006052040105125444
PG,2025-09-03,155.45,156.42,154.31,155.96,6592451,0.0010906175900594899
PG,2025-09-04,156.31,157.52,155.61,156.97,6935245,0.0064551401727188885
PG,2025-09-05,156.34,158.32,156.2,157.79,6436150,0.005210330760462021
PG,2025-09-08,157.38,158.04,156.04,156.79,7178356,-0.006357704675218514
PG,2025-09-09,156.4,157.64,155.99,157.24,4984936,0.0028659701813006397
PG,2025-09-10,156.38,156.72,153.72,155.16,6205463,-0.013316457981893218
PG,2025-09-11,155.52,157.13,155.2,156.42,5819875,0.008087854601698906
PG,2025-09-12,155.73,156.91,155.58,155.7,5957021,-0.004613618333512721
PG,2025-09-15,155.68,156.31,154.02,154.64,5994966,-0.006831243939877191
PG,2025-09-16,154.94,156.18,154.7,155.85,6559608,0.007794171313270711
PG,2025-09-17,156.22,159.42,156.22,158.09,6764169,0.014270484894750395
PG,2025-09-18,155.94,156.81,154.97,155.13,7651487,-0.018901016031856618
PG,2025-09-19,155.41,155.42,153.8,153.86,17224774,-0.008220377045451054
PG,2025-09-22,153.9,153.9,150.92,150.94,8712910,-0.01916069117406634
PG,2025-09-23,151.06,151.16,148.87,150.37,8853418,-0.0037834833224935525
PG,2025-09-24,149.93,151.49,149.67,150.29,6483264,-0.0005321625882258713
PG,2025-09-25,151.09,151.73,149.66,150.03,7511415,-0.0017314868470809173
PG,2025-09-26,150.11,150.55,149.42,150.37,5721092,0.0022636494353067715
PG,2025-09-29,150.29,151.57,149.67,151.39,8139711,0.006760365089558654
PG,2025-09-30,151.32,152.23,150.71,151.51,7762609,0.0007923407479568031
PG,2025-10-01,151.55,151.74,149.3,151.04,7566014,-0.0031069269745535675
PG,2025-10-02,150.59,150.67,149.51,149.93,6892089,-0.007376183890378717
PG,2025-10-03,149.88,151.29,149.88,150.15,5212584,0.0014662759225274112
PG,2025-10-06,149.39,150.2,148.3,148.31,6736960,-0.012330116675468126
PG,2025-10-07,148.66,151.03,147.96,150.41,6844361,0.014060220913250666
PG,2025-10-08,150.66,150.66,148.53,148.59,5254728,-0.012174063398865845
PG,2025-10-09,148.64,148.77,147.49,148.48,6134461,-0.0007405662303656508
PG,2025-10-10,148.83,149.4,147.37,147.6,7374046,-0.005944356871518338
PG,2025-10-13,146.92,147.35,144.92,145.43,7511103,-0.014811040976753195
PG,2025-10-14,145.51,147.17,145.03,147.08,8585346,0.011281785243452459
PG,2025-10-15,146.45,147.33,145.22,145.36,10003073,-0.011763232345155531
PG,2025-10-16,145.95,148.3,145.86,147.51,8809673,0.014682546004041766
PG,2025-10-17,148.47,149.91,148.33,149.29,8612894,0.011994752973540981
PG,2025-10-20,149.48,150.27,149.19,149.84,5601287,0.0036773350703344803
PG,2025-10-21,149.84,150.16,148.77,149.51,6013379,-0.002204777909996663
PG,2025-10-22,149.19,151.32,148.68,150.08,6394378,0.003805205032078255
PG,2025-10-23,150.23,151.16,148.48,150.09,8205353,6.662891030874361e-05
PG,2025-10-24,155.3,156.29,150.46,151.42,11968491,0.008822318506937056
PG,2025-10-27,150.54,150.69,149.07,150.67,7775323,-0.004965417861963449
PG,2025-10-28,150.05,152.09,149.56,150.3,5819257,-0.0024587180542681645
PG,2025-10-29,149.6,149.91,147.42,147.72,7405466,-0.017314706774566476
PG,2025-10-30,148.42,149.74,148.29,148.53,6760702,0.005468368057078836
