ticker,date,open,high,low,close,volume,log_return
AMZN,2025-03-24,200.0,203.64,199.95,203.26,41625365,
AMZN,2025-03-25,203.6,206.21,203.22,205.71,31171161,0.011981462254762397
AMZN,2025-03-26,205.84,206.01,199.92,201.13,32990973,-0.02251594479925321
AMZN,2025-03-27,200.89,203.79,199.28,201.36,27317661,0.001142885661930857
AMZN,2025-03-28,198.42,199.26,191.88,192.72,52548226,-0.04385599252044459
AMZN,2025-03-31,188.19,191.33,184.4,190.26,63547558,-0.012846800528305018
AMZN,2025-04-01,187.86,193.93,187.2,192.17,41267315,0.009988839166024745
AMZN,2025-04-02,187.66,198.34,187.66,196.01,53679198,0.019785281392848002
AMZN,2025-04-03,183.0,184.13,176.92,178.41,95553617,-0.09408140595057173
AMZN,2025-04-04,167.14,178.14,166.0,171.0,123159359,-0.04242071588395214
AMZN,2025-04-07,162.0,183.41,161.38,175.26,109327115,0.0246070291250447
AMZN,2025-04-08,185.23,185.9,168.57,170.66,87710360,-0.02659731251926574
AMZN,2025-04-09,172.12,192.65,169.93,191.1,116804328,0.11312357813778856
AMZN,2025-04-10,185.44,186.87,175.85,181.22,68302045,-0.05308508845231278
AMZN,2025-04-11,179.93,185.86,178.0,184.87,50594339,0.01994111257043962
AMZN,2025-04-14,186.84,187.44,179.23,182.12,48002540,-0.014987064897772767
AMZN,2025-04-15,181.41,182.35,177.93,179.59,43641952,-0.01398933543593629
AMZN,2025-04-16,176.29,179.1,171.41,174.33,51875316,-0.02972642027552106
AMZN,2025-04-17,176.0,176.21,172.0,172.61,44726453,-0.009915340356525996
AMZN,2025-04-21,169.6,169.6,165.28,167.32,48126111,-0.031126567824600306
AMZN,2025-04-22,169.84,176.78,169.35,173.18,56607202,0.0344233694456575
AMZN,2025-04-23,183.45,187.38,180.19,180.6,63470149,0.04195312496322977
AMZN,2025-04-24,180.92,186.74,180.18,186.54,43763196,0.0323610523158323
AMZN,2025-04-25,187.62,189.94,185.49,188.99,36414330,0.013048410308228734
AMZN,2025-04-28,190.1,190.22,184.88,187.7,33224732,-0.006849160014483116
AMZN,2025-04-29,183.99,188.02,183.68,187.39,41667255,-0.0016529370048887133
AMZN,2025-04-30,182.17,185.05,178.85,184.42,55176543,-0.015976241476579285
AMZN,2025-05-01,190.63,191.81,187.5,190.2,74265963,0.03086038500029479
AMZN,2025-05-02,191.44,192.88,186.4,189.98,77903487,-0.0011573466492535804
AMZN,2025-05-05,186.51,188.18,185.53,186.35,35217469,-0.01929217753676896
AMZN,2025-05-06,184.57,187.93,183.85,185.01,29314055,-0.007216748253756305
AMZN,2025-05-07,185.56,190.99,185.01,188.71,44002926,0.019801567469493214
AMZN,2025-05-08,191.43,194.33,188.82,192.08,41043620,0.01770050677199359
AMZN,2025-05-09,193.38,194.69,191.16,193.06,29663143,0.005089069507471228
