ticker,date,close,realised_vol
AAPL,2024-12-02,238.29,
AAPL,2024-12-03,241.33,
AAPL,2024-12-04,241.69,
AAPL,2024-12-05,241.72,
AAPL,2024-12-06,241.52,
AAPL,2024-12-09,245.41,
AAPL,2024-12-10,246.42,
AAPL,2024-12-11,245.15,
AAPL,2024-12-12,246.61,
AAPL,2024-12-13,246.78,
AAPL,2024-12-16,249.68,
AAPL,2024-12-17,252.1,
AAPL,2024-12-18,246.7,
AAPL,2024-12-19,248.43,
AAPL,2024-12-20,253.11,
AAPL,2024-12-23,253.88,
AAPL,2024-12-24,256.8,
AAPL,2024-12-26,257.61,
AAPL,2024-12-27,254.2,
AAPL,2024-12-30,250.83,
AAPL,2024-12-31,249.06,0.16496417962328314
AAPL,2025-01-02,242.53,0.1890066985132828
AAPL,2025-01-03,242.04,0.18911170547424289
AAPL,2025-01-06,243.67,0.1905757069508414
AAPL,2025-01-07,240.89,0.19517830083825852
AAPL,2025-01-08,241.38,0.1859731483250872
AAPL,2025-01-10,235.56,0.20272560245382742
AAPL,2025-01-13,233.13,0.2045500820119518
AAPL,2025-01-14,232.01,0.2022052430638356
AAPL,2025-01-15,236.58,0.21729085852654514
AAPL,2025-01-16,227.02,0.2512965475660396
AAPL,2025-01-17,228.73,0.24977898472747892
AAPL,2025-01-21,221.43,0.26202414083116377
AAPL,2025-01-22,222.61,0.2610401010379239
AAPL,2025-01-23,222.44,0.24587010873049034
AAPL,2025-01-24,221.57,0.24353561025055256
AAPL,2025-01-27,228.61,0.27179540729358753
AAPL,2025-01-28,236.97,0.30853137716114865
AAPL,2025-01-29,238.06,0.3080378510244837
AAPL,2025-01-30,236.3,0.3061822086444609
AAPL,2025-01-31,234.72,0.3061188981004904
AAPL,2025-02-03,226.77,0.3153284396091486
AAPL,2025-02-04,231.54,0.32682460460327356
AAPL,2025-02-05,231.21,0.3251479460018366
AAPL,2025-02-06,231.95,0.32401989890840144
AAPL,2025-02-07,226.39,0.3331131869187286
AAPL,2025-02-10,226.66,0.32376641845901527
AAPL,2025-02-11,231.61,0.33248181753448475
AAPL,2025-02-12,235.84,0.3382775111202364
AAPL,2025-02-13,240.48,0.3382609424654008
AAPL,2025-02-14,243.54,0.3014629752275676
AAPL,2025-02-18,243.41,0.3014014686412674
AAPL,2025-02-19,243.81,0.27081926300015396
AAPL,2025-02-20,244.76,0.27083159620983094
AAPL,2025-02-21,244.48,0.2709376059205347
AAPL,2025-02-24,246.03,0.26903672949121865
AAPL,2025-02-25,245.97,0.2512455654092644
AAPL,2025-02-26,239.32,0.24385781533997286
AAPL,2025-02-27,236.27,0.24778235327465445
AAPL,2025-02-28,240.79,0.25540437586172254
AAPL,2025-03-03,237.0,0.26104742097381034
AAPL,2025-03-04,234.91,0.22951338000982646
AAPL,2025-03-05,234.72,0.21826418250458132
AAPL,2025-03-06,234.31,0.21830842816397178
AAPL,2025-03-07,238.03,0.22469442517679153
AAPL,2025-03-10,226.49,0.2754624390801347
AAPL,2025-03-11,219.88,0.2947620659146898
AAPL,2025-03-12,216.04,0.28672526315580976
AAPL,2025-03-13,208.77,0.29455331262546064
AAPL,2025-03-14,212.56,0.2928774911329718
AAPL,2025-03-17,213.07,0.2863317346896914
AAPL,2025-03-18,211.77,0.2854257823528389
AAPL,2025-03-19,214.31,0.29179810122198596
AAPL,2025-03-20,213.17,0.2892904071923514
AAPL,2025-03-21,217.32,0.3034290058464431
AAPL,2025-03-24,219.77,0.3065196607739618
AAPL,2025-03-25,222.78,0.3136138180248392
AAPL,2025-03-26,220.57,0.3029806761234738
AAPL,2025-03-27,222.88,0.30530625338206
AAPL,2025-03-28,216.95,0.30519316535415236
AAPL,2025-03-31,221.17,0.31427091276665986
AAPL,2025-04-01,222.22,0.31487608104514747
AAPL,2025-04-02,222.92,0.31551599135112757
AAPL,2025-04-03,202.31,0.4602149392141014
AAPL,2025-04-04,187.56,0.5110361026910083
AAPL,2025-04-07,180.67,0.5007578929404268
AAPL,2025-04-08,171.67,0.5167284055613249
AAPL,2025-04-09,197.99,0.7538782026851144
AAPL,2025-04-10,189.59,0.7593473135314682
AAPL,2025-04-11,197.29,0.7718868829215131
AAPL,2025-04-14,201.64,0.7769885725821025
AAPL,2025-04-15,201.26,0.7768908492703576
AAPL,2025-04-16,193.43,0.7856900426418764
AAPL,2025-04-17,196.13,0.7885718543130918
AAPL,2025-04-21,192.32,0.785313572339294
AAPL,2025-04-22,198.87,0.7957443055153103
AAPL,2025-04-23,203.71,0.7998346071951437
AAPL,2025-04-24,207.47,0.803540967388151
AAPL,2025-04-25,208.37,0.8024760641069497
AAPL,2025-04-28,209.23,0.7979239016824948
AAPL,2025-04-29,210.29,0.7945325852798056
AAPL,2025-04-30,211.58,0.7947147875921287
AAPL,2025-05-01,212.39,0.7947815617651407
AAPL,2025-05-02,204.46,0.7263176321300695
AAPL,2025-05-05,198.03,0.6805790224094928
