ticker,date,close,realised_vol
NVDA,2025-03-24,121.38,
NVDA,2025-03-25,120.66,
NVDA,2025-03-26,113.73,
NVDA,2025-03-27,111.4,
NVDA,2025-03-28,109.64,
NVDA,2025-03-31,108.35,
NVDA,2025-04-01,110.12,
NVDA,2025-04-02,110.39,
NVDA,2025-04-03,101.78,
NVDA,2025-04-04,94.29,
NVDA,2025-04-07,97.62,
NVDA,2025-04-08,96.28,
NVDA,2025-04-09,114.3,
NVDA,2025-04-10,107.54,
NVDA,2025-04-11,110.9,
NVDA,2025-04-14,110.68,
NVDA,2025-04-15,112.17,
NVDA,2025-04-16,104.47,
NVDA,2025-04-17,101.47,
NVDA,2025-04-21,96.89,
NVDA,2025-04-22,98.87,0.885231401437161
NVDA,2025-04-23,102.69,0.9015995035906686
NVDA,2025-04-24,106.4,0.8930212663252326
NVDA,2025-04-25,110.98,0.904596724124436
NVDA,2025-04-28,108.7,0.9058736292514992
NVDA,2025-04-29,108.99,0.9049140534898924
NVDA,2025-04-30,108.89,0.90296039228838
NVDA,2025-05-01,111.58,0.9072838912133538
NVDA,2025-05-02,114.47,0.8574931683204913
NVDA,2025-05-05,113.79,0.8024916750577427
NVDA,2025-05-06,113.51,0.7977768365180118
NVDA,2025-05-07,117.03,0.7975624441408982
NVDA,2025-05-08,117.34,0.520194960057378
NVDA,2025-05-09,116.62,0.46680989602646417
NVDA,2025-05-12,122.97,0.48981652010707216
NVDA,2025-05-13,129.9,0.5194311438734374
NVDA,2025-05-14,135.31,0.5321602800766501
NVDA,2025-05-15,134.8,0.44333740460430987
NVDA,2025-05-16,135.37,0.41654516961251936
NVDA,2025-05-19,135.54,0.3544113377999501
NVDA,2025-05-20,134.35,0.36549226596094436
NVDA,2025-05-21,131.77,0.37501691042739904
NVDA,2025-05-22,132.8,0.36522407665800066
NVDA,2025-05-23,131.26,0.35430686507557824
NVDA,2025-05-27,135.47,0.34579370589731245
NVDA,2025-05-28,134.78,0.34936225187442477
NVDA,2025-05-29,139.16,0.35443299141284684
NVDA,2025-05-30,135.1,0.3807741563048128
NVDA,2025-06-02,137.35,0.37706421885783165
NVDA,2025-06-03,141.19,0.37807567695094296
NVDA,2025-06-04,141.89,0.37553761112254974
NVDA,2025-06-05,139.96,0.37807589011102277
NVDA,2025-06-06,141.69,0.37749307500670887
NVDA,2025-06-09,142.6,0.3732253411630064
NVDA,2025-06-10,143.93,0.336978617824832
NVDA,2025-06-11,142.81,0.2914992559178768
NVDA,2025-06-12,144.98,0.2621064741995741
NVDA,2025-06-13,141.95,0.2753465340938939
NVDA,2025-06-16,144.67,0.28142740702817975
NVDA,2025-06-17,144.1,0.28253804708548164
NVDA,2025-06-18,145.46,0.27976321141079513
NVDA,2025-06-20,143.83,0.2721497005478516
NVDA,2025-06-23,144.15,0.27194226645650976
NVDA,2025-06-24,147.88,0.27538770473723084
NVDA,2025-06-25,154.28,0.2909340555715102
NVDA,2025-06-26,154.99,0.2878222800609165
NVDA,2025-06-27,157.72,0.2754472239205856
NVDA,2025-06-30,157.96,0.24178979625710809
NVDA,2025-07-01,153.27,0.2740863530951289
NVDA,2025-07-02,157.22,0.27190595405860457
NVDA,2025-07-03,159.31,0.27330944839484195
NVDA,2025-07-07,158.21,0.2679131015338384
NVDA,2025-07-08,159.97,0.2675755892668033
NVDA,2025-07-09,162.85,0.2708277264767818
NVDA,2025-07-10,164.07,0.2706690526409567
NVDA,2025-07-11,164.89,0.2654249805814927
NVDA,2025-07-14,164.04,0.2671654245854465
NVDA,2025-07-15,170.67,0.27181715628850733
NVDA,2025-07-16,171.34,0.2698899306519163
NVDA,2025-07-17,172.97,0.2658813419255921
NVDA,2025-07-18,172.38,0.26957604173574956
NVDA,2025-07-21,171.35,0.2650596883142324
NVDA,2025-07-22,167.0,0.2914287090143647
NVDA,2025-07-23,170.75,0.28889387452408977
NVDA,2025-07-24,173.71,0.2606751795022327
NVDA,2025-07-25,173.47,0.26194177114311057
NVDA,2025-07-28,176.72,0.26262955301498586
NVDA,2025-07-29,175.48,0.26616593723511195
NVDA,2025-07-30,179.24,0.23631766445835212
NVDA,2025-07-31,177.84,0.232916014999753
NVDA,2025-08-01,173.69,0.2538711448351669
NVDA,2025-08-04,179.97,0.27292058698614174
NVDA,2025-08-05,178.23,0.2781713897270384
NVDA,2025-08-06,179.39,0.2743305131712158
NVDA,2025-08-07,180.74,0.27433481856600594
NVDA,2025-08-08,182.67,0.2751033622752852
NVDA,2025-08-11,182.03,0.27434263141945747
NVDA,2025-08-12,183.13,0.24251250841351527
NVDA,2025-08-13,181.56,0.24628994016530242
NVDA,2025-08-14,181.99,0.2450637951913954
NVDA,2025-08-15,180.42,0.24745223867100286
NVDA,2025-08-18,181.98,0.24640417138909754
NVDA,2025-08-19,175.61,0.2636475921237883
NVDA,2025-08-20,175.37,0.25337246272845837
NVDA,2025-08-21,174.95,0.2465669352177288
NVDA,2025-08-22,177.96,0.2534362244738669
