ticker,date,close,realised_vol
PG,2025-03-24,161.23,
PG,2025-03-25,158.5,
PG,2025-03-26,162.13,
PG,2025-03-27,164.2,
PG,2025-03-28,163.54,
PG,2025-03-31,165.87,
PG,2025-04-01,166.01,
PG,2025-04-02,164.97,
PG,2025-04-03,167.79,
PG,2025-04-04,159.38,
PG,2025-04-07,155.95,
PG,2025-04-08,154.16,
PG,2025-04-09,157.99,
PG,2025-04-10,159.19,
PG,2025-04-11,162.45,
PG,2025-04-14,164.61,
PG,2025-04-15,163.97,
PG,2025-04-16,161.95,
PG,2025-04-17,166.07,
PG,2025-04-21,162.33,
PG,2025-04-22,164.42,0.31472387829555926
PG,2025-04-23,162.31,0.3118911953248806
PG,2025-04-24,156.24,0.3304685132014295
PG,2025-04-25,157.7,0.3287071062665483
PG,2025-04-28,158.51,0.32956944156200607
PG,2025-04-29,158.91,0.3247684326377703
PG,2025-04-30,159.21,0.3249166351202685
PG,2025-05-01,156.68,0.32840136792913244
PG,2025-05-02,157.21,0.32115118479983096
PG,2025-05-05,155.55,0.2682960566585228
PG,2025-05-06,155.96,0.25727293559472686
PG,2025-05-07,156.0,0.2536321184293268
PG,2025-05-08,155.38,0.23761572124032895
PG,2025-05-09,154.41,0.23619827269589394
PG,2025-05-12,157.58,0.23625959905646393
PG,2025-05-13,155.45,0.23324116728614727
PG,2025-05-14,154.76,0.233281906232199
PG,2025-05-15,159.06,0.25366386774365135
PG,2025-05-16,159.91,0.23583734100372838
PG,2025-05-19,161.37,0.22529425934800157
PG,2025-05-20,162.22,0.22103384358023911
PG,2025-05-21,162.02,0.2162908818286894
PG,2025-05-22,161.62,0.1638198555115247
PG,2025-05-23,162.44,0.1618878838359018
PG,2025-05-27,164.3,0.16524782666833812
PG,2025-05-28,163.91,0.1658752898924243
PG,2025-05-29,165.08,0.16704954788985546
PG,2025-05-30,166.38,0.1542558077022423
PG,2025-06-02,164.32,0.16369968001550433
PG,2025-06-03,163.41,0.15936786042050177
PG,2025-06-04,162.52,0.16182560382599193
PG,2025-06-05,159.44,0.17847234373906545
PG,2025-06-06,160.63,0.17876974471781715
PG,2025-06-09,159.2,0.18058910172909629
PG,2025-06-10,159.48,0.1664321079053152
PG,2025-06-11,158.76,0.15910884938783773
PG,2025-06-12,159.81,0.15887140883333048
PG,2025-06-13,156.97,0.141811195929966
PG,2025-06-16,157.56,0.14103549776899946
PG,2025-06-17,155.25,0.1443700060345036
PG,2025-06-18,154.76,0.1418827443053222
PG,2025-06-20,155.8,0.14546132989833466
PG,2025-06-23,157.71,0.15383643320463308
PG,2025-06-24,157.05,0.15232143204714885
PG,2025-06-25,155.69,0.14601225273186177
PG,2025-06-26,155.36,0.1460223344100996
PG,2025-06-27,156.56,0.14655321505839386
PG,2025-06-30,156.03,0.14121234826734302
PG,2025-07-01,157.89,0.1463682331802591
PG,2025-07-02,157.87,0.1458856158033946
PG,2025-07-03,157.51,0.14524065865936733
PG,2025-07-07,157.19,0.1296552194194479
PG,2025-07-08,154.63,0.13720797780060484
PG,2025-07-09,154.27,0.1346934625508583
PG,2025-07-10,155.22,0.13700853459691284
PG,2025-07-11,153.81,0.13937359829302687
PG,2025-07-14,150.59,0.15201695623877376
PG,2025-07-15,149.53,0.1424247497440719
PG,2025-07-16,150.56,0.14462778268998713
PG,2025-07-17,152.41,0.14541537382085581
PG,2025-07-18,152.94,0.14596630579970957
PG,2025-07-21,152.87,0.14341465126140757
PG,2025-07-22,156.11,0.1568524626664946
PG,2025-07-23,156.07,0.15624749000276045
PG,2025-07-24,156.6,0.1535118608300667
PG,2025-07-25,156.09,0.15380266227318498
PG,2025-07-28,154.92,0.15349885371596375
PG,2025-07-29,154.43,0.15344567008179216
PG,2025-07-30,150.75,0.16747631109821337
PG,2025-07-31,148.37,0.17399054036796868
PG,2025-08-01,148.55,0.17465022339159872
PG,2025-08-04,148.66,0.1751156292956616
PG,2025-08-05,148.41,0.16755165745277717
PG,2025-08-06,150.73,0.1787544338729321
PG,2025-08-07,151.35,0.17779588440556027
PG,2025-08-08,151.37,0.17538621639163224
PG,2025-08-11,152.82,0.16141608535486976
PG,2025-08-12,152.93,0.15877117312796565
PG,2025-08-13,153.24,0.15737361802043068
PG,2025-08-14,151.6,0.15656128182458023
PG,2025-08-15,152.21,0.15674543009801245
PG,2025-08-18,153.55,0.1599607325332775
PG,2025-08-19,156.19,0.153689835653965
PG,2025-08-20,157.29,0.15566921875181453
PG,2025-08-21,156.52,0.1563327244446062
PG,2025-08-22,156.46,0.15587557848451236
PG,2025-08-25,153.97,0.16412946611279727
PG,2025-08-26,153.8,0.16381566109098408
PG,2025-08-27,154.77,0.13855204173480382
PG,2025-08-28,153.48,0.12831963440070518
PG,2025-08-29,154.85,0.1308057606758456
PG,2025-09-02,155.79,0.13144328858223994
PG,2025-09-03,155.96,0.1306831921472081
PG,2025-09-04,156.97,0.1223977471627985
PG,2025-09-05,157.79,0.12270900884036398
PG,2025-09-08,156.79,0.1261908014993292
PG,2025-09-09,157.24,0.1229195226644967
